Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Post Malone,1.0,14202522.0,Sunflower - Spider-Man: Into the Spider-Verse,0.556,compilation,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,2019-01-04--2019-01-11,158040.0,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2.0,0.0703,-5.574,1.0,86.0,us,2018-12-14,0.0466,3KkXRkHbMCARz0aVfEt68P,89.911,4.0,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913
Post Malone,2.0,12721360.0,Wow.,0.163,single,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,2019-01-04--2019-01-11,149520.0,0.539,6MWtB6iiXyIwun0YzU6DFP,2.1e-06,11.0,0.101,-7.399,0.0,15.0,us,2018-12-24,0.178,6MWtB6iiXyIwun0YzU6DFP,99.947,4.0,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.385
Meek Mill,3.0,9576466.0,Going Bad (feat. Drake),0.259,album,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,0.889,2019-01-04--2019-01-11,180522.0,0.496,2IRZnDFmlqMuOrYOLnZZyc,0.0,4.0,0.252,-6.365,0.0,83.0,us,2018-11-30,0.0905,2IRZnDFmlqMuOrYOLnZZyc,86.003,4.0,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,audio_features,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,0.544
Travis Scott,4.0,9005380.0,SICKO MODE,0.00513,album,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,2019-01-04--2019-01-11,312820.0,0.73,2xLMifQCjDGFmkHkpNLD9h,0.0,8.0,0.124,-3.714,1.0,91.0,us,2018-08-03,0.222,2xLMifQCjDGFmkHkpNLD9h,155.008,4.0,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
Lil Baby,5.0,8917200.0,Drip Too Hard (Lil Baby & Gunna),0.0852,album,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,0.897,2019-01-04--2019-01-11,145542.0,0.662,78QR3Wp35dqAhFEc2qAGjE,0.0,1.0,0.534,-6.903,0.0,83.0,us,2018-10-05,0.292,78QR3Wp35dqAhFEc2qAGjE,112.511,4.0,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE,0.389
Ariana Grande,6.0,8590215.0,"thank u, next",0.28,single,https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,0.724,2019-01-04--2019-01-11,207333.0,0.647,2rPE9A1vEgShuZxxzR2tZH,0.0,1.0,0.102,-5.642,1.0,13.0,us,2018-11-03,0.0658,2rPE9A1vEgShuZxxzR2tZH,106.96,4.0,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH,audio_features,spotify:track:2rPE9A1vEgShuZxxzR2tZH,0.435
Halsey,7.0,8442905.0,Without Me,0.297,single,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,2019-01-04--2019-01-11,201660.0,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6.0,0.0936,-7.05,1.0,84.0,us,2018-10-04,0.0705,5p7ujcrUXASCNwRaWNHR1C,136.041,4.0,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
Kodak Black,8.0,7930686.0,ZEZE (feat. Travis Scott & Offset),0.0521,album,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,0.861,2019-01-04--2019-01-11,228759.0,0.603,0FZ4Dmg8jJJAPJnvBIzD9z,0.0,8.0,0.0924,-5.788,0.0,81.0,us,2018-12-14,0.176,0FZ4Dmg8jJJAPJnvBIzD9z,98.043,4.0,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,audio_features,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,0.504
Sheck Wes,9.0,7305500.0,Mo Bamba,0.194,album,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,0.729,2019-01-04--2019-01-11,183906.0,0.625,1xzBco0xcoJEDXktl7Jxrr,0.00986,4.0,0.248,-5.266,1.0,80.0,us,2018-10-05,0.0315,1xzBco0xcoJEDXktl7Jxrr,146.034,4.0,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,audio_features,spotify:track:1xzBco0xcoJEDXktl7Jxrr,0.261
Flipp Dinero,10.0,6455797.0,Leave Me Alone,0.107,single,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,0.792,2019-01-04--2019-01-11,195637.0,0.743,14mHfNsSHN0FbLftyjrV9g,0.0,7.0,0.183,-2.806,1.0,75.0,us,2018-09-04,0.0851,14mHfNsSHN0FbLftyjrV9g,150.024,4.0,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,audio_features,spotify:track:14mHfNsSHN0FbLftyjrV9g,0.742
