Position,Track Name,Artist,Streams,date,region,spotify_id
1,HUMBLE.,Kendrick Lamar,14685844,2017-04-07--2017-04-14,us,7KXjTSCq5nL1LoYtL7XAwS
2,Mask Off,Future,12264148,2017-04-07--2017-04-14,us,3rOSwuTsUlJp0Pu0MkN8r8
3,XO TOUR Llif3,Lil Uzi Vert,9921971,2017-04-07--2017-04-14,us,2eMwDehkIC1j68U6FA3Eiq
4,Passionfruit,Drake,9384660,2017-04-07--2017-04-14,us,7hDc8b7IXETo14hHIHdnhd
5,Shape of You,Ed Sheeran,8468722,2017-04-07--2017-04-14,us,7qiZfU4dY1lWllzX7mPBI3
6,iSpy (feat. Lil Yachty),KYLE,8301237,2017-04-07--2017-04-14,us,2EEeOnHehOozLq4aS0n6SL
7,That's What I Like,Bruno Mars,8188089,2017-04-07--2017-04-14,us,0KKkJNfGyhkQ5aFogxQAPU
8,Something Just Like This,The Chainsmokers,7781762,2017-04-07--2017-04-14,us,6RUKPb4LETWmmr3iAEQktW
9,Portland,Drake,7264960,2017-04-07--2017-04-14,us,2bjwRfXMk4uRgOD9IBYl9h
10,Tunnel Vision,Kodak Black,7060393,2017-04-07--2017-04-14,us,4Q3N4Ct4zCuIHuZ65E3BD4
11,Location,Khalid,6435681,2017-04-07--2017-04-14,us,152lZdxL1OR0ZMW6KquMif
12,Congratulations,Post Malone,6429985,2017-04-07--2017-04-14,us,3a1lNhkSLSkpJE4MSHpDu9
13,Stay (with Alessia Cara),Zedd,6394192,2017-04-07--2017-04-14,us,0dA2Mk56wEzDgegdC6R17g
14,Paris,The Chainsmokers,6069980,2017-04-07--2017-04-14,us,72jbDTw1piOOj770jWNeaG
15,It Ain't Me (with Selena Gomez),Kygo,5904205,2017-04-07--2017-04-14,us,3eR23VReFzcdmS7TYCrhCe
16,Sign of the Times,Harry Styles,5627296,2017-04-07--2017-04-14,us,5Ohxk2dO5COHF1krpoPigN
17,Slide (feat. Frank Ocean & Migos),Calvin Harris,5600663,2017-04-07--2017-04-14,us,7tr2za8SQg2CI8EDgrdtNl
18,The One,The Chainsmokers,5264602,2017-04-07--2017-04-14,us,0wfbD5rAksdXUzRvMfM3x5
19,Issues,Julia Michaels,5229713,2017-04-07--2017-04-14,us,1sXUWdKx03aP9Gmzft58rt
20,Bounce Back,Big Sean,5107764,2017-04-07--2017-04-14,us,0SGkqnVQo9KPytSri1H6cF
