Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Kendrick Lamar,1.0,14685844.0,HUMBLE.,0.000282,album,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,0.908,2017-04-07--2017-04-14,177000.0,0.621,7KXjTSCq5nL1LoYtL7XAwS,5.39e-05,1.0,0.0958,-6.638,0.0,83.0,us,2017-04-14,0.102,7KXjTSCq5nL1LoYtL7XAwS,150.011,4.0,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.421
Future,2.0,12264148.0,Mask Off,0.0102,album,https://api.spotify.com/v1/audio-analysis/3rOSwuTsUlJp0Pu0MkN8r8,0.833,2017-04-07--2017-04-14,204600.0,0.434,3rOSwuTsUlJp0Pu0MkN8r8,0.0219,2.0,0.165,-8.795,1.0,47.0,us,2017-08-04,0.431,3rOSwuTsUlJp0Pu0MkN8r8,150.062,4.0,https://api.spotify.com/v1/tracks/3rOSwuTsUlJp0Pu0MkN8r8,audio_features,spotify:track:3rOSwuTsUlJp0Pu0MkN8r8,0.281
Lil Uzi Vert,3.0,9921971.0,XO TOUR Llif3,0.00264,single,https://api.spotify.com/v1/audio-analysis/2eMwDehkIC1j68U6FA3Eiq,0.732,2017-04-07--2017-04-14,182706.0,0.75,2eMwDehkIC1j68U6FA3Eiq,0.0,11.0,0.109,-6.366,0.0,3.0,us,2017-03-24,0.231,2eMwDehkIC1j68U6FA3Eiq,155.096,4.0,https://api.spotify.com/v1/tracks/2eMwDehkIC1j68U6FA3Eiq,audio_features,spotify:track:2eMwDehkIC1j68U6FA3Eiq,0.401
Drake,4.0,9384660.0,Passionfruit,0.256,album,https://api.spotify.com/v1/audio-analysis/7hDc8b7IXETo14hHIHdnhd,0.809,2017-04-07--2017-04-14,298940.0,0.463,7hDc8b7IXETo14hHIHdnhd,0.085,11.0,0.109,-11.377,1.0,4.0,us,2017-03-18,0.0396,7hDc8b7IXETo14hHIHdnhd,111.98,4.0,https://api.spotify.com/v1/tracks/7hDc8b7IXETo14hHIHdnhd,audio_features,spotify:track:7hDc8b7IXETo14hHIHdnhd,0.364
Ed Sheeran,5.0,8468722.0,Shape of You,0.581,album,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,0.825,2017-04-07--2017-04-14,233712.0,0.652,7qiZfU4dY1lWllzX7mPBI3,0.0,1.0,0.0931,-3.183,0.0,85.0,us,2017-03-03,0.0802,7qiZfU4dY1lWllzX7mPBI3,95.977,4.0,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.931
KYLE,6.0,8301237.0,iSpy (feat. Lil Yachty),0.378,single,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,0.746,2017-04-07--2017-04-14,253106.0,0.653,2EEeOnHehOozLq4aS0n6SL,0.0,7.0,0.229,-6.745,1.0,77.0,us,2016-12-02,0.289,2EEeOnHehOozLq4aS0n6SL,75.016,4.0,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,audio_features,spotify:track:2EEeOnHehOozLq4aS0n6SL,0.672
Bruno Mars,7.0,8188089.0,That's What I Like,0.013,album,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,0.853,2017-04-07--2017-04-14,206693.0,0.56,0KKkJNfGyhkQ5aFogxQAPU,0.0,1.0,0.0944,-4.961,1.0,81.0,us,2016-11-17,0.0406,0KKkJNfGyhkQ5aFogxQAPU,134.066,4.0,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,audio_features,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.86
The Chainsmokers,8.0,7781762.0,Something Just Like This,0.0498,album,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,0.617,2017-04-07--2017-04-14,247160.0,0.635,6RUKPb4LETWmmr3iAEQktW,1.44e-05,11.0,0.164,-6.769,0.0,83.0,us,2017-04-07,0.0317,6RUKPb4LETWmmr3iAEQktW,103.019,4.0,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,audio_features,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.446
Drake,9.0,7264960.0,Portland,0.0172,album,https://api.spotify.com/v1/audio-analysis/2bjwRfXMk4uRgOD9IBYl9h,0.925,2017-04-07--2017-04-14,236614.0,0.443,2bjwRfXMk4uRgOD9IBYl9h,0.0,1.0,0.276,-8.216,1.0,74.0,us,2017-03-18,0.264,2bjwRfXMk4uRgOD9IBYl9h,136.078,4.0,https://api.spotify.com/v1/tracks/2bjwRfXMk4uRgOD9IBYl9h,audio_features,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,0.35
Kodak Black,10.0,7060393.0,Tunnel Vision,0.0576,album,https://api.spotify.com/v1/audio-analysis/4Q3N4Ct4zCuIHuZ65E3BD4,0.497,2017-04-07--2017-04-14,268186.0,0.489,4Q3N4Ct4zCuIHuZ65E3BD4,9.91e-05,11.0,0.122,-7.724,0.0,74.0,us,2017-03-31,0.294,4Q3N4Ct4zCuIHuZ65E3BD4,171.853,4.0,https://api.spotify.com/v1/tracks/4Q3N4Ct4zCuIHuZ65E3BD4,audio_features,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,0.231
