Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Post Malone,1.0,9855305.0,rockstar,0.13,single,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,0.577,2018-01-05--2018-01-12,218320.0,0.522,7wGoVu4Dady5GV0Sv4UIsx,9.03e-05,5.0,0.142,-6.594,0.0,6.0,us,2017-09-15,0.0984,7wGoVu4Dady5GV0Sv4UIsx,159.772,4.0,https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx,audio_features,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,0.119
Bruno Mars,2.0,8504248.0,Finesse - Remix; feat. Cardi B,0.0185,single,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,0.704,2018-01-05--2018-01-12,217288.0,0.859,3Vo4wInECJQuz9BIBMOu8i,0.0,5.0,0.0215,-4.877,0.0,76.0,us,2017-12-20,0.0996,3Vo4wInECJQuz9BIBMOu8i,105.115,4.0,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,audio_features,spotify:track:3Vo4wInECJQuz9BIBMOu8i,0.926
G-Eazy,3.0,7685058.0,No Limit,0.0117,album,https://api.spotify.com/v1/audio-analysis/2DQ1ITjI0YoLFzuADN1ZBW,0.838,2018-01-05--2018-01-12,245386.0,0.771,2DQ1ITjI0YoLFzuADN1ZBW,0.0,1.0,0.0853,-3.791,1.0,75.0,us,2017-12-15,0.244,2DQ1ITjI0YoLFzuADN1ZBW,175.957,4.0,https://api.spotify.com/v1/tracks/2DQ1ITjI0YoLFzuADN1ZBW,audio_features,spotify:track:2DQ1ITjI0YoLFzuADN1ZBW,0.405
Cardi B,4.0,7439471.0,Bartier Cardi (feat. 21 Savage),0.000704,single,https://api.spotify.com/v1/audio-analysis/75FDPwaULRdYDn4StFN2rT,0.909,2018-01-05--2018-01-12,224613.0,0.546,75FDPwaULRdYDn4StFN2rT,0.000823,8.0,0.36,-7.513,1.0,58.0,us,2017-12-22,0.175,75FDPwaULRdYDn4StFN2rT,138.043,4.0,https://api.spotify.com/v1/tracks/75FDPwaULRdYDn4StFN2rT,audio_features,spotify:track:75FDPwaULRdYDn4StFN2rT,0.0986
Post Malone,5.0,6971450.0,I Fall Apart,0.0689,album,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,0.556,2018-01-05--2018-01-12,223346.0,0.538,75ZvA4QfFiZvzhj2xkaWAh,0.0,8.0,0.196,-5.408,0.0,83.0,us,2016-12-09,0.0382,75ZvA4QfFiZvzhj2xkaWAh,143.95,4.0,https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh,audio_features,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,0.291
Offset,6.0,6419256.0,Ric Flair Drip (& Metro Boomin),0.149,album,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,0.88,2018-01-05--2018-01-12,172800.0,0.428,7sO5G9EABYOXQKNPNiE9NR,5.07e-05,9.0,0.114,-8.28,1.0,82.0,us,2017-10-30,0.206,7sO5G9EABYOXQKNPNiE9NR,100.007,4.0,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.333
Kendrick Lamar,7.0,6406373.0,All The Stars (with SZA),0.0287,single,https://api.spotify.com/v1/audio-analysis/66kQ7wr4d2LwwSjr7HXcyr,0.705,2018-01-05--2018-01-12,235540.0,0.628,66kQ7wr4d2LwwSjr7HXcyr,0.0193,5.0,0.0863,-5.362,0.0,62.0,us,2018-01-04,0.0489,66kQ7wr4d2LwwSjr7HXcyr,96.799,4.0,https://api.spotify.com/v1/tracks/66kQ7wr4d2LwwSjr7HXcyr,audio_features,spotify:track:66kQ7wr4d2LwwSjr7HXcyr,0.465
G-Eazy,8.0,6239280.0,Him & I (with Halsey),0.0534,album,https://api.spotify.com/v1/audio-analysis/5k38wzpLb15YgncyWdTZE4,0.589,2018-01-05--2018-01-12,268866.0,0.731,5k38wzpLb15YgncyWdTZE4,0.0,2.0,0.308,-6.343,1.0,76.0,us,2017-12-15,0.0868,5k38wzpLb15YgncyWdTZE4,87.908,4.0,https://api.spotify.com/v1/tracks/5k38wzpLb15YgncyWdTZE4,audio_features,spotify:track:5k38wzpLb15YgncyWdTZE4,0.191
Camila Cabello,9.0,5860925.0,Havana,0.186,single,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,0.768,2018-01-05--2018-01-12,216896.0,0.517,0ofbQMrRDsUaVKq2mGLEAb,3.8e-05,7.0,0.104,-4.323,0.0,10.0,us,2017-08-03,0.0312,0ofbQMrRDsUaVKq2mGLEAb,104.992,4.0,https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb,audio_features,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0.418
Kendrick Lamar,10.0,5657847.0,LOVE. FEAT. ZACARI.,0.264,album,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,0.8,2018-01-05--2018-01-12,213400.0,0.585,6PGoSes0D9eUDeeAafB2As,0.0,10.0,0.153,-7.343,1.0,80.0,us,2017-04-14,0.0924,6PGoSes0D9eUDeeAafB2As,126.058,4.0,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,audio_features,spotify:track:6PGoSes0D9eUDeeAafB2As,0.779
