Position,Track Name,Artist,Streams,date,region,spotify_id
1,Nice For What,Drake,18346125,2018-04-06--2018-04-13,us,1cTZMwcBJT0Ka3UJPXOeeN
2,God's Plan,Drake,13473096,2018-04-06--2018-04-13,us,2XW4DbS6NddZxRPm5rMCeY
3,Psycho (feat. Ty Dolla $ign),Post Malone,10636718,2018-04-06--2018-04-13,us,65NwOZqoXny4JxqAPlfxRF
4,Look Alive (feat. Drake),BlocBoy JB,10495518,2018-04-06--2018-04-13,us,4qKcDkK6siZ7Jp1Jb4m0aL
5,Call Out My Name,The Weeknd,10422044,2018-04-06--2018-04-13,us,1gm616Plq4ScqNi7TVkZ5N
6,SAD!,XXXTENTACION,9856972,2018-04-06--2018-04-13,us,3ee8Jmje8o58CHK66QrVC2
7,Plug Walk,Rich The Kid,8789836,2018-04-06--2018-04-13,us,6mAz8D1TmlTuef90dbNIiZ
8,I Like It,Cardi B,7821295,2018-04-06--2018-04-13,us,58q2HKrzhC3ozto2nDdN4z
9,Freaky Friday (feat. Chris Brown),Lil Dicky,7424244,2018-04-06--2018-04-13,us,10Igtw8bSDyyFs7KIsKngZ
10,Be Careful,Cardi B,7337089,2018-04-06--2018-04-13,us,2Yl4OmDby9iitgNWZPwxkd
11,Walk It Talk It,Migos,6756789,2018-04-06--2018-04-13,us,6n4U3TlzUGhdSFbUUhTvLP
12,I Do (feat. SZA),Cardi B,6448556,2018-04-06--2018-04-13,us,1f5PNhkNgUpvDEeZfcIlO1
13,Love Lies (with Normani),Khalid,6237182,2018-04-06--2018-04-13,us,45Egmo7icyopuzJN0oMEdk
14,JAPAN,Famous Dex,6172814,2018-04-06--2018-04-13,us,5PTG6rrL6EPFD9E2QMI2pl
15,Wasted Times,The Weeknd,5999683,2018-04-06--2018-04-13,us,72TyiiduRmczEbDIEtKQdR
16,Ric Flair Drip (& Metro Boomin),Offset,5774460,2018-04-06--2018-04-13,us,7sO5G9EABYOXQKNPNiE9NR
17,Drip (feat. Migos),Cardi B,5725837,2018-04-06--2018-04-13,us,2qcG0nZ6S3zZV0UrkY5nFo
18,Mine,Bazzi,5681561,2018-04-06--2018-04-13,us,2lYjH3ZbCrW7CHmSRvVCN3
19,The Middle,Zedd,5670181,2018-04-06--2018-04-13,us,2ARqIya5NAuvFVHSN3bL0m
20,Moonlight,XXXTENTACION,5646510,2018-04-06--2018-04-13,us,0JP9xo3adEtGSdUEISiszL
21,Try Me,The Weeknd,5496568,2018-04-06--2018-04-13,us,2poOAWEj1CStqTVPgIHZ8s
22,All The Stars (with SZA),Kendrick Lamar,5413730,2018-04-06--2018-04-13,us,3GCdLUSnKSMJhs4Tj6CV3s
23,Powerglide (feat. Juicy J),Rae Sremmurd,5328922,2018-04-06--2018-04-13,us,2yUbCEiaolfSMluDo9RMmG
24,Best Life (feat. Chance The Rapper),Cardi B,5325131,2018-04-06--2018-04-13,us,00B7TZ0Xawar6NZ00JFomN
25,Get Up 10,Cardi B,5321331,2018-04-06--2018-04-13,us,7p2ewixAShLpjDZrnzZK7c
26,Bartier Cardi (feat. 21 Savage),Cardi B,5269383,2018-04-06--2018-04-13,us,0dIoGTQXDh1wVnhIiSyYEa
27,Bickenhead,Cardi B,5189170,2018-04-06--2018-04-13,us,17Yq72h0p15OhCbZ5lJ5gd
28,rockstar,Post Malone,5063398,2018-04-06--2018-04-13,us,2U7Hu2RaNQNRi7izoJyZaX
29,Stir Fry,Migos,5052415,2018-04-06--2018-04-13,us,2UVbBKQOdFAekPTRsnkzcf
30,Ring (feat. Kehlani),Cardi B,5012235,2018-04-06--2018-04-13,us,5DfWF0jqMgZDCiu9zJENTA
31,One Kiss (with Dua Lipa),Calvin Harris,4985488,2018-04-06--2018-04-13,us,7ef4DlsgrMEH11cDZd32M6
32,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,4916384,2018-04-06--2018-04-13,us,51rXHuKN8Loc4sUlKPODgH
33,I Fall Apart,Post Malone,4843865,2018-04-06--2018-04-13,us,75ZvA4QfFiZvzhj2xkaWAh
34,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,4766078,2018-04-06--2018-04-13,us,7iDa6hUg2VgEL1o1HjmfBn
35,Bodak Yellow,Cardi B,4673273,2018-04-06--2018-04-13,us,6KBYefIoo7KydImq1uUQlL
36,FRIENDS,Marshmello,4493790,2018-04-06--2018-04-13,us,08bNPGLD8AhKpnnERrAc6G
