Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Luis Fonsi,1.0,10346156.0,Despacito - Remix,0.229,single,https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb,0.694,2017-07-07--2017-07-14,228826.0,0.815,5CtI0qwDJkDQGwXD1H1cLb,0.0,2.0,0.0924,-4.328,1.0,10.0,us,2017-04-17,0.12,5CtI0qwDJkDQGwXD1H1cLb,88.931,4.0,https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb,audio_features,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,0.813
Lil Uzi Vert,2.0,9421219.0,XO TOUR Llif3,0.00264,single,https://api.spotify.com/v1/audio-analysis/2eMwDehkIC1j68U6FA3Eiq,0.732,2017-07-07--2017-07-14,182706.0,0.75,2eMwDehkIC1j68U6FA3Eiq,0.0,11.0,0.109,-6.366,0.0,3.0,us,2017-03-24,0.231,2eMwDehkIC1j68U6FA3Eiq,155.096,4.0,https://api.spotify.com/v1/tracks/2eMwDehkIC1j68U6FA3Eiq,audio_features,spotify:track:2eMwDehkIC1j68U6FA3Eiq,0.401
DJ Khaled,3.0,9110056.0,Wild Thoughts (feat. Rihanna & Bryson Tiller),0.0329,album,https://api.spotify.com/v1/audio-analysis/1OAh8uOEOvTDqkKFsKksCi,0.671,2017-07-07--2017-07-14,204173.0,0.672,1OAh8uOEOvTDqkKFsKksCi,0.0,0.0,0.118,-3.094,0.0,74.0,us,2017-06-22,0.0688,1OAh8uOEOvTDqkKFsKksCi,97.979,4.0,https://api.spotify.com/v1/tracks/1OAh8uOEOvTDqkKFsKksCi,audio_features,spotify:track:1OAh8uOEOvTDqkKFsKksCi,0.632
DJ Khaled,4.0,8336457.0,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",0.0552,album,https://api.spotify.com/v1/audio-analysis/3DXncPQOG4VBw3QHh3S817,0.609,2017-07-07--2017-07-14,288600.0,0.668,3DXncPQOG4VBw3QHh3S817,0.0,7.0,0.167,-4.284,1.0,74.0,us,2017-06-22,0.0367,3DXncPQOG4VBw3QHh3S817,80.924,4.0,https://api.spotify.com/v1/tracks/3DXncPQOG4VBw3QHh3S817,audio_features,spotify:track:3DXncPQOG4VBw3QHh3S817,0.811
Kendrick Lamar,5.0,7905063.0,HUMBLE.,0.000282,album,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,0.908,2017-07-07--2017-07-14,177000.0,0.621,7KXjTSCq5nL1LoYtL7XAwS,5.39e-05,1.0,0.0958,-6.638,0.0,83.0,us,2017-04-14,0.102,7KXjTSCq5nL1LoYtL7XAwS,150.011,4.0,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.421
French Montana,6.0,7889824.0,Unforgettable,0.0293,album,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,0.726,2017-07-07--2017-07-14,233901.0,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6.0,0.104,-5.043,1.0,81.0,us,2017-07-14,0.123,3B54sVLJ402zGa6Xm4YGNe,97.985,4.0,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.733
Post Malone,7.0,6768697.0,Congratulations,0.215,album,https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9,0.63,2017-07-07--2017-07-14,220293.0,0.804,3a1lNhkSLSkpJE4MSHpDu9,0.0,6.0,0.253,-4.183,1.0,84.0,us,2016-12-09,0.0363,3a1lNhkSLSkpJE4MSHpDu9,123.146,4.0,https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9,audio_features,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,0.492
Calvin Harris,8.0,5894996.0,Slide (feat. Frank Ocean & Migos),0.498,album,https://api.spotify.com/v1/audio-analysis/7tr2za8SQg2CI8EDgrdtNl,0.736,2017-07-07--2017-07-14,230813.0,0.795,7tr2za8SQg2CI8EDgrdtNl,1.21e-06,1.0,0.254,-3.299,0.0,70.0,us,2017-06-30,0.0545,7tr2za8SQg2CI8EDgrdtNl,104.066,4.0,https://api.spotify.com/v1/tracks/7tr2za8SQg2CI8EDgrdtNl,audio_features,spotify:track:7tr2za8SQg2CI8EDgrdtNl,0.511
Childish Gambino,9.0,5894931.0,Redbone,0.172,album,https://api.spotify.com/v1/audio-analysis/3kxfsdsCpFgN412fpnW85Y,0.745,2017-07-07--2017-07-14,326933.0,0.356,3kxfsdsCpFgN412fpnW85Y,0.00943,1.0,0.123,-10.425,1.0,6.0,us,2016-12-02,0.0941,3kxfsdsCpFgN412fpnW85Y,160.033,4.0,https://api.spotify.com/v1/tracks/3kxfsdsCpFgN412fpnW85Y,audio_features,spotify:track:3kxfsdsCpFgN412fpnW85Y,0.607
Khalid,10.0,5651366.0,Location,0.33,album,https://api.spotify.com/v1/audio-analysis/152lZdxL1OR0ZMW6KquMif,0.736,2017-07-07--2017-07-14,219080.0,0.449,152lZdxL1OR0ZMW6KquMif,0.000162,1.0,0.0898,-11.462,0.0,81.0,us,2017-04-27,0.425,152lZdxL1OR0ZMW6KquMif,80.126,4.0,https://api.spotify.com/v1/tracks/152lZdxL1OR0ZMW6KquMif,audio_features,spotify:track:152lZdxL1OR0ZMW6KquMif,0.326
