Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Post Malone,1.0,17366836.0,rockstar,0.13,single,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,0.577,2017-10-06--2017-10-13,218320.0,0.522,7wGoVu4Dady5GV0Sv4UIsx,9.03e-05,5.0,0.142,-6.594,0.0,6.0,us,2017-09-15,0.0984,7wGoVu4Dady5GV0Sv4UIsx,159.772,4.0,https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx,audio_features,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,0.119
Logic,2.0,8117184.0,1-800-273-8255,0.569,album,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,0.62,2017-10-06--2017-10-13,250173.0,0.574,5tz69p7tJuGPeMGwNTxYuV,0.0,5.0,0.19,-7.788,0.0,80.0,us,2017-05-05,0.0479,5tz69p7tJuGPeMGwNTxYuV,100.023,4.0,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.357
Post Malone,3.0,7936637.0,I Fall Apart,0.0689,album,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,0.556,2017-10-06--2017-10-13,223346.0,0.538,75ZvA4QfFiZvzhj2xkaWAh,0.0,8.0,0.196,-5.408,0.0,83.0,us,2016-12-09,0.0382,75ZvA4QfFiZvzhj2xkaWAh,143.95,4.0,https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh,audio_features,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,0.291
Cardi B,4.0,7630755.0,Bodak Yellow,0.0672,single,https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM,0.929,2017-10-06--2017-10-13,223962.0,0.723,2771LMNxwf62FTAdpJMQfM,0.0,11.0,0.346,-5.792,0.0,67.0,us,2017-06-16,0.109,2771LMNxwf62FTAdpJMQfM,125.022,4.0,https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM,audio_features,spotify:track:2771LMNxwf62FTAdpJMQfM,0.458
21 Savage,5.0,7434029.0,Bank Account,0.0151,album,https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G,0.884,2017-10-06--2017-10-13,220306.0,0.346,2fQrGHiQOvpL9UgPvtYy6G,7.04e-06,8.0,0.0871,-8.228,0.0,79.0,us,2017-09-23,0.351,2fQrGHiQOvpL9UgPvtYy6G,75.016,4.0,https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G,audio_features,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,0.376
Lil Pump,6.0,6448847.0,Gucci Gang,0.239,album,https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc,0.936,2017-10-06--2017-10-13,124055.0,0.523,43ZyHQITOjhciSUUNPVRHc,0.0,5.0,0.117,-6.71,1.0,72.0,us,2017-10-06,0.0597,43ZyHQITOjhciSUUNPVRHc,119.889,4.0,https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc,audio_features,spotify:track:43ZyHQITOjhciSUUNPVRHc,0.699
Lil Uzi Vert,7.0,6323777.0,XO Tour Llif3,0.00264,album,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,0.732,2017-10-06--2017-10-13,182706.0,0.75,7GX5flRQZVHRAGd6B4TmDO,0.0,11.0,0.109,-6.366,0.0,84.0,us,2017-08-25,0.231,7GX5flRQZVHRAGd6B4TmDO,155.096,4.0,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,audio_features,spotify:track:7GX5flRQZVHRAGd6B4TmDO,0.401
Khalid,8.0,5915123.0,Young Dumb & Broke,0.199,album,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,0.798,2017-10-06--2017-10-13,202546.0,0.539,5Z3GHaZ6ec9bsiI5BenrbY,1.66e-05,1.0,0.165,-6.351,1.0,82.0,us,2017-04-27,0.0421,5Z3GHaZ6ec9bsiI5BenrbY,136.949,4.0,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.394
Lil Uzi Vert,9.0,5718544.0,The Way Life Goes (feat. Oh Wonder),0.617,album,https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc,0.703,2017-10-06--2017-10-13,221746.0,0.757,2eAZfqOm4EnOF9VvN50Tyc,0.0,1.0,0.106,-3.612,1.0,78.0,us,2017-08-25,0.05,2eAZfqOm4EnOF9VvN50Tyc,82.008,4.0,https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc,audio_features,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,0.696
XXXTENTACION,10.0,5612567.0,Jocelyn Flores,0.469,album,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,0.872,2017-10-06--2017-10-13,119133.0,0.391,7m9OqQk4RVRkw9JJdeAw96,4.13e-06,0.0,0.297,-9.144,0.0,87.0,us,2017-08-25,0.242,7m9OqQk4RVRkw9JJdeAw96,134.021,4.0,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,audio_features,spotify:track:7m9OqQk4RVRkw9JJdeAw96,0.437
