Position,Track Name,Artist,Streams,date,region,spotify_id
1,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,20673623,2019-04-05--2019-04-12,us,6u7jPi22kF8CTQ3rb9DHE7
2,Old Town Road,Lil Nas X,15186440,2019-04-05--2019-04-12,us,53CJANUxooaqGOtdsBTh7O
3,bad guy,Billie Eilish,13890824,2019-04-05--2019-04-12,us,2Fxmhks0bxGSBdJ92vM42m
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,8696363,2019-04-05--2019-04-12,us,3KkXRkHbMCARz0aVfEt68P
5,wish you were gay,Billie Eilish,8165235,2019-04-05--2019-04-12,us,3Fj47GNK2kUF0uaEDgXLaD
6,MIDDLE CHILD,J. Cole,7808654,2019-04-05--2019-04-12,us,2JvzF1RMd7lE3KmFlsyZD8
7,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,7378430,2019-04-05--2019-04-12,us,1wJRveJZLSb1rjhnUHQiv6
8,Talk (feat. Disclosure),Khalid,7292412,2019-04-05--2019-04-12,us,6TqXcAFInzjp0bODyvrWEq
9,Outta My Head (with John Mayer),Khalid,7094716,2019-04-05--2019-04-12,us,09oZ9eXQ2fo6YDrPzJqAoP
10,Better,Khalid,6978918,2019-04-05--2019-04-12,us,6zeeWid2sgw4lap2jV61PZ
11,Wow.,Post Malone,6948506,2019-04-05--2019-04-12,us,6MWtB6iiXyIwun0YzU6DFP
12,bury a friend,Billie Eilish,6887623,2019-04-05--2019-04-12,us,4SSnFejRGlZikf02HLewEF
13,My Bad,Khalid,6679962,2019-04-05--2019-04-12,us,2XKFnwB6djxrJCjR3PdeRb
14,Murder On My Mind,YNW Melly,6618213,2019-04-05--2019-04-12,us,7eBqSVxrzQZtK2mmgRG6lC
15,Going Bad (feat. Drake),Meek Mill,6523365,2019-04-05--2019-04-12,us,2IRZnDFmlqMuOrYOLnZZyc
