Position,Track Name,Artist,Streams,date,region,spotify_id
1,The Box,Roddy Ricch,18952305,2020-01-03--2020-01-10,us,0nbXyq5TXYPCO7pr3N8S4I
2,ROXANNE,Arizona Zervas,9671478,2020-01-03--2020-01-10,us,696DnlkuDOXcMAnKlTgXXK
3,Yummy,Justin Bieber,9648561,2020-01-03--2020-01-10,us,41L3O37CECZt3N7ziG2z7l
4,Circles,Post Malone,8244725,2020-01-03--2020-01-10,us,21jGcNKet2qwijlDFuPiPb
5,BOP,DaBaby,7985170,2020-01-03--2020-01-10,us,6Ozh9Ok6h4Oi1wUSLtBseN
6,Falling,Trevor Daniel,7503297,2020-01-03--2020-01-10,us,4TnjEaWOeW0eKTKIEvJyCa
7,Dance Monkey,Tones And I,6986158,2020-01-03--2020-01-10,us,1rgnBhdG2JDFTbYkYRZAku
8,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6938158,2020-01-03--2020-01-10,us,6Gg1gjgKi2AK4e0qzsR7sd
9,Futsal Shuffle 2020,Lil Uzi Vert,6802710,2020-01-03--2020-01-10,us,2Ec33AVlkTTq8BHFgBTdQs
10,everything i wanted,Billie Eilish,6181388,2020-01-03--2020-01-10,us,3ZCTVFBt2Brf31RLEnCkWJ
11,Ballin' (with Roddy Ricch),Mustard,6166618,2020-01-03--2020-01-10,us,3QzAOrNlsabgbMwlZt7TAY
12,Blinding Lights,The Weeknd,6093807,2020-01-03--2020-01-10,us,0sf12qNH5qcw8qpgymFOqD
13,Adore You,Harry Styles,5918797,2020-01-03--2020-01-10,us,3jjujdWJ72nww5eGnfs2E7
14,Suicidal,YNW Melly,5880355,2020-01-03--2020-01-10,us,1iSqfoUFnQwV0QW1EfUit8
15,My Oh My (feat. DaBaby),Camila Cabello,5680153,2020-01-03--2020-01-10,us,3yOlyBJuViE2YSGn3nVE1K
16,Don't Start Now,Dua Lipa,5216621,2020-01-03--2020-01-10,us,6WrI0LAC5M1Rw2MnX2ZvEg
17,No Idea,Don Toliver,4922350,2020-01-03--2020-01-10,us,3VyjsVV24RmBIbWJAeUJNu
18,hot girl bummer,blackbear,4897726,2020-01-03--2020-01-10,us,7aiClxsDWFRQ0Kzk5KI5ku
19,VIBEZ,DaBaby,4809631,2020-01-03--2020-01-10,us,0fySG6A6qLE8IvDpayb5bM
20,Watermelon Sugar,Harry Styles,4793358,2020-01-03--2020-01-10,us,6UelLqGlWMcVH1E5c4H7lY
21,Heartless,The Weeknd,4784585,2020-01-03--2020-01-10,us,57vxBYXtHMk6H1aD29V7PU
22,OUT WEST (feat. Young Thug),JACKBOYS,4750318,2020-01-03--2020-01-10,us,6gi6y1xwmVszDWkUqab1qw
23,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4700611,2020-01-03--2020-01-10,us,0RiRZpuVRbi7oqRdSMwhQY
24,HIGHEST IN THE ROOM,Travis Scott,4640947,2020-01-03--2020-01-10,us,3eekarcy7kvN4yt5ZFzltW
25,Someone You Loved,Lewis Capaldi,4604720,2020-01-03--2020-01-10,us,7qEHsqek33rTcFNT9PFqLf
26,Woah,Lil Baby,4528520,2020-01-03--2020-01-10,us,598yNsG1JFrGd4n2kMoz7F
27,Memories,Maroon 5,4510361,2020-01-03--2020-01-10,us,2b8fOow8UzyDFAE27YhOZM
28,Lose You To Love Me,Selena Gomez,4291918,2020-01-03--2020-01-10,us,1HfMVBKM75vxSfsQ5VefZ5
29,SUGAR,BROCKHAMPTON,4290774,2020-01-03--2020-01-10,us,6U0FIYXCQ3TGrk4tFpLrEA
30,Lucid Dreams,Juice WRLD,4068069,2020-01-03--2020-01-10,us,285pBltuF7vW8TeWk8hdRR
31,Suge,DaBaby,4012729,2020-01-03--2020-01-10,us,2gwkD6igEhQbDQegRCcdoB
32,Say So,Doja Cat,3895584,2020-01-03--2020-01-10,us,3Dv1eDb0MEgF93GpLXlucZ
33,Robbery,Juice WRLD,3857669,2020-01-03--2020-01-10,us,6Hj9jySrnFppAI0sEMCZpJ
34,bad guy,Billie Eilish,3830917,2020-01-03--2020-01-10,us,2Fxmhks0bxGSBdJ92vM42m
35,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,3735347,2020-01-03--2020-01-10,us,7h0d2h0fUmzbs7zeFigJPn
36,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,3695717,2020-01-03--2020-01-10,us,7ntUbTIwmwOD6ygCMRZT6e
37,Ransom,Lil Tecca,3657828,2020-01-03--2020-01-10,us,1lOe9qE0vR9zwWQAOk6CoO
38,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,3492249,2020-01-03--2020-01-10,us,2FvD20Z8aoWIePi7PoN8sG
39,Truth Hurts,Lizzo,3433280,2020-01-03--2020-01-10,us,5qmq61DAAOUaW8AUo8xKhh
40,223's (feat. 9lokknine),YNW Melly,3424197,2020-01-03--2020-01-10,us,29ZXwWOOLz9t5fa3eT3i7T
41,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,3421786,2020-01-03--2020-01-10,us,4ea9w8c4ROqiZpJVhfBA3m
42,Falling,Harry Styles,3415708,2020-01-03--2020-01-10,us,1ZMiCix7XSAbfAJlEZWMCp
43,"10,000 Hours (with Justin Bieber)",Dan + Shay,3355067,2020-01-03--2020-01-10,us,2wrJq5XKLnmhRXHIAf9xBa
44,Stuck In A Dream (feat. Gunna),Lil Mosey,3316362,2020-01-03--2020-01-10,us,7iHHxY2NLlJRAmlAmC4ahQ
45,Money In The Grave (Drake ft. Rick Ross),Drake,3314636,2020-01-03--2020-01-10,us,5ry2OE6R2zPQFDO85XkgRb
46,Señorita,Shawn Mendes,3289924,2020-01-03--2020-01-10,us,6v3KW9xbzN5yKLt9YKDYA2
47,Goodbyes (Feat. Young Thug),Post Malone,3266958,2020-01-03--2020-01-10,us,6vBdBCoOhKHiYDDOcorfNo
