Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito - Remix,Luis Fonsi,10346156,2017-07-07--2017-07-14,us,5CtI0qwDJkDQGwXD1H1cLb
2,XO TOUR Llif3,Lil Uzi Vert,9421219,2017-07-07--2017-07-14,us,2eMwDehkIC1j68U6FA3Eiq
3,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,9110056,2017-07-07--2017-07-14,us,1OAh8uOEOvTDqkKFsKksCi
4,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,8336457,2017-07-07--2017-07-14,us,3DXncPQOG4VBw3QHh3S817
5,HUMBLE.,Kendrick Lamar,7905063,2017-07-07--2017-07-14,us,7KXjTSCq5nL1LoYtL7XAwS
6,Unforgettable,French Montana,7889824,2017-07-07--2017-07-14,us,3B54sVLJ402zGa6Xm4YGNe
7,Congratulations,Post Malone,6768697,2017-07-07--2017-07-14,us,3a1lNhkSLSkpJE4MSHpDu9
8,Slide (feat. Frank Ocean & Migos),Calvin Harris,5894996,2017-07-07--2017-07-14,us,7tr2za8SQg2CI8EDgrdtNl
9,Redbone,Childish Gambino,5894931,2017-07-07--2017-07-14,us,3kxfsdsCpFgN412fpnW85Y
10,Location,Khalid,5651366,2017-07-07--2017-07-14,us,152lZdxL1OR0ZMW6KquMif
11,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,5548015,2017-07-07--2017-07-14,us,5bcTCxgc7xVfSaMV3RuVke
12,DNA.,Kendrick Lamar,5267458,2017-07-07--2017-07-14,us,6HZILIRieu8S0iqY8kIKhj
13,Bank Account,21 Savage,5124339,2017-07-07--2017-07-14,us,5eqK0tbzUPo2SoeZsov04s
14,Signs,Drake,5120128,2017-07-07--2017-07-14,us,5EnYT6F7wEcdege6mDHEfO
15,Body Like A Back Road,Sam Hunt,4938134,2017-07-07--2017-07-14,us,7mldq42yDuxiUNn08nvzHO
16,Believer,Imagine Dragons,4926847,2017-07-07--2017-07-14,us,0CcQNd8CINkwQfe1RDtGV6
17,Magnolia,Playboi Carti,4852718,2017-07-07--2017-07-14,us,1e1JKLEDKP7hEQzJfNAgPl
18,2U (feat. Justin Bieber),David Guetta,4852321,2017-07-07--2017-07-14,us,3A7qX2QjDlPnazUsRk5y0M
19,BUTTERFLY EFFECT,Travis Scott,4834218,2017-07-07--2017-07-14,us,1yxgsra98r3qAtxqiGZPiX
