Position,Track Name,Artist,Streams,date,region,spotify_id
1,In My Feelings,Drake,24879464,2018-07-06--2018-07-13,us,0bAkKNCQfWkexHFn7fIKns
2,Nonstop,Drake,14660638,2018-07-06--2018-07-13,us,2Vx8E3K5icPZR7OCklWBXX
3,Lucid Dreams,Juice WRLD,13087057,2018-07-06--2018-07-13,us,0X8DcetL926BYiPJYstJTc
4,Don’t Matter To Me,Drake,12077821,2018-07-06--2018-07-13,us,36ONiya0OANYknz0GgJmwB
5,SAD!,XXXTENTACION,11346395,2018-07-06--2018-07-13,us,3ee8Jmje8o58CHK66QrVC2
6,I'm Upset,Drake,9445554,2018-07-06--2018-07-13,us,1iSZPndzmY6NvL1jAtIvY1
7,Nice For What,Drake,9256525,2018-07-06--2018-07-13,us,0HVv5bEOiI9a0QfgcASXpX
8,Moonlight,XXXTENTACION,8894448,2018-07-06--2018-07-13,us,0JP9xo3adEtGSdUEISiszL
9,I Like It,Cardi B,8836989,2018-07-06--2018-07-13,us,58q2HKrzhC3ozto2nDdN4z
10,Taste (feat. Offset),Tyga,8438869,2018-07-06--2018-07-13,us,5IaHrVsrferBYDm0bDyABy
11,God's Plan,Drake,8056452,2018-07-06--2018-07-13,us,2VWbHHhWnMzKWPUs4IEEW9
12,Mob Ties,Drake,7959616,2018-07-06--2018-07-13,us,7txPE73wHbuXYkM1h8zNrG
13,Girls Like You (feat. Cardi B),Maroon 5,7848266,2018-07-06--2018-07-13,us,7fa9MBXhVfQ8P8Df9OEbD8
14,Yes Indeed,Lil Baby,7745189,2018-07-06--2018-07-13,us,6vN77lE9LK6HP2DewaN6HZ
15,Better Now,Post Malone,7725315,2018-07-06--2018-07-13,us,7dt6x5M1jzdTEt8oCbisTK
16,Emotionless,Drake,6901710,2018-07-06--2018-07-13,us,1v1IXPXl73Z7zy6f5tUa9n
17,Elevate,Drake,5793418,2018-07-06--2018-07-13,us,4uloft7ZE54WflsuqFmjC7
18,Can’t Take A Joke,Drake,5693155,2018-07-06--2018-07-13,us,7cfvP13Bqb1EyCZQiYsLum
19,Psycho (feat. Ty Dolla $ign),Post Malone,5582255,2018-07-06--2018-07-13,us,3swc6WTsr7rl9DqQKQA55C
20,Jocelyn Flores,XXXTENTACION,5520515,2018-07-06--2018-07-13,us,7m9OqQk4RVRkw9JJdeAw96
21,changes,XXXTENTACION,5425090,2018-07-06--2018-07-13,us,7AFASza1mXqntmGtbxXprO
22,All Girls Are The Same,Juice WRLD,5280126,2018-07-06--2018-07-13,us,3H2JThgdBxezwj1wwafQS8
23,Ocean (feat. Khalid),Martin Garrix,5182762,2018-07-06--2018-07-13,us,3nc420PXjTdBV5TN0gCFkS
24,Jackie Chan,Tiësto,4937419,2018-07-06--2018-07-13,us,4kWO6O1BUXcZmaxitpVUwp
25,Look Alive (feat. Drake),BlocBoy JB,4827267,2018-07-06--2018-07-13,us,4qKcDkK6siZ7Jp1Jb4m0aL
26,Boo'd Up,Ella Mai,4661211,2018-07-06--2018-07-13,us,0At2qAoaVjIwWNAqrscXli
27,Fuck Love (feat. Trippie Redd),XXXTENTACION,4654752,2018-07-06--2018-07-13,us,7AQim7LbvFVZJE3O8TYgf2
28,Youngblood,5 Seconds of Summer,4624425,2018-07-06--2018-07-13,us,2iUXsYOEPhVqEBwsqP70rE
29,APESHIT,The Carters,4578713,2018-07-06--2018-07-13,us,0E6PsO3ymCfUh7pJQjBgkj
30,Blue Tint,Drake,4539361,2018-07-06--2018-07-13,us,1Jrj3k5L36dPkU6KAclU7g
31,8 Out Of 10,Drake,4515751,2018-07-06--2018-07-13,us,5fcM0StdQxMjzulVGhFkHN
32,All Mine,Kanye West,4488833,2018-07-06--2018-07-13,us,3qnoOm4fwZPBS116f5hpgF
33,Survival,Drake,4363707,2018-07-06--2018-07-13,us,71SEHJPt1iDwGkBhUOAXDP
34,no tears left to cry,Ariana Grande,4355309,2018-07-06--2018-07-13,us,5SxkdsY1ufZzoq9iXceLw9
35,rockstar (feat. 21 Savage),Post Malone,4318228,2018-07-06--2018-07-13,us,0e7ipj03S05BNilyu5bRzt
36,Talk Up,Drake,4276127,2018-07-06--2018-07-13,us,3Yw09dj3cTXsAzlLjgBfIP
37,Summer Games,Drake,4142103,2018-07-06--2018-07-13,us,0w1ZtnzQmtmuuoKxHT0pLL
38,Back To You,Selena Gomez,4086334,2018-07-06--2018-07-13,us,514rhnksEwHUh6LxXsQ4Y9
39,After Dark,Drake,4071657,2018-07-06--2018-07-13,us,4IvenHmD0spfFDOKphoUDp
40,Sandra’s Rose,Drake,4032366,2018-07-06--2018-07-13,us,1sPLURKAosM3Jampgp9AWq
