Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Drake,1.0,24879464.0,In My Feelings,0.00623,album,https://api.spotify.com/v1/audio-analysis/0bAkKNCQfWkexHFn7fIKns,0.735,2018-07-06--2018-07-13,217933.0,0.482,0bAkKNCQfWkexHFn7fIKns,0.0144,8.0,0.448,-9.445,1.0,4.0,us,2018-06-29,0.139,0bAkKNCQfWkexHFn7fIKns,181.995,4.0,https://api.spotify.com/v1/tracks/0bAkKNCQfWkexHFn7fIKns,audio_features,spotify:track:0bAkKNCQfWkexHFn7fIKns,0.315
Drake,2.0,14660638.0,Nonstop,0.0306,album,https://api.spotify.com/v1/audio-analysis/2Vx8E3K5icPZR7OCklWBXX,0.909,2018-07-06--2018-07-13,238613.0,0.405,2Vx8E3K5icPZR7OCklWBXX,0.00698,6.0,0.105,-8.133,0.0,3.0,us,2018-06-29,0.14,2Vx8E3K5icPZR7OCklWBXX,154.984,4.0,https://api.spotify.com/v1/tracks/2Vx8E3K5icPZR7OCklWBXX,audio_features,spotify:track:2Vx8E3K5icPZR7OCklWBXX,0.455
Juice WRLD,3.0,13087057.0,Lucid Dreams,0.349,album,https://api.spotify.com/v1/audio-analysis/0X8DcetL926BYiPJYstJTc,0.511,2018-07-06--2018-07-13,239835.0,0.566,0X8DcetL926BYiPJYstJTc,0.0,6.0,0.34,-7.23,0.0,3.0,us,2018-05-23,0.2,0X8DcetL926BYiPJYstJTc,83.903,4.0,https://api.spotify.com/v1/tracks/0X8DcetL926BYiPJYstJTc,audio_features,spotify:track:0X8DcetL926BYiPJYstJTc,0.218
Drake,4.0,12077821.0,Don’t Matter To Me,0.497,album,https://api.spotify.com/v1/audio-analysis/36ONiya0OANYknz0GgJmwB,0.825,2018-07-06--2018-07-13,245786.0,0.317,36ONiya0OANYknz0GgJmwB,0.0128,10.0,0.11,-12.39,1.0,4.0,us,2018-06-29,0.0583,36ONiya0OANYknz0GgJmwB,103.001,4.0,https://api.spotify.com/v1/tracks/36ONiya0OANYknz0GgJmwB,audio_features,spotify:track:36ONiya0OANYknz0GgJmwB,0.136
XXXTENTACION,5.0,11346395.0,SAD!,0.258,album,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,0.74,2018-07-06--2018-07-13,166605.0,0.613,3ee8Jmje8o58CHK66QrVC2,0.00372,8.0,0.123,-4.88,1.0,87.0,us,2018-03-16,0.145,3ee8Jmje8o58CHK66QrVC2,75.023,4.0,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,0.473
Drake,6.0,9445554.0,I'm Upset,0.279,album,https://api.spotify.com/v1/audio-analysis/1iSZPndzmY6NvL1jAtIvY1,0.899,2018-07-06--2018-07-13,214466.0,0.587,1iSZPndzmY6NvL1jAtIvY1,0.0,11.0,0.0835,-7.866,0.0,0.0,us,2018-06-29,0.338,1iSZPndzmY6NvL1jAtIvY1,149.993,4.0,https://api.spotify.com/v1/tracks/1iSZPndzmY6NvL1jAtIvY1,audio_features,spotify:track:1iSZPndzmY6NvL1jAtIvY1,0.49
Drake,7.0,9256525.0,Nice For What,0.0884,album,https://api.spotify.com/v1/audio-analysis/0HVv5bEOiI9a0QfgcASXpX,0.7,2018-07-06--2018-07-13,210746.0,0.909,0HVv5bEOiI9a0QfgcASXpX,0.000114,8.0,0.0778,-6.461,1.0,2.0,us,2018-06-29,0.0628,0HVv5bEOiI9a0QfgcASXpX,93.469,4.0,https://api.spotify.com/v1/tracks/0HVv5bEOiI9a0QfgcASXpX,audio_features,spotify:track:0HVv5bEOiI9a0QfgcASXpX,0.757
XXXTENTACION,8.0,8894448.0,Moonlight,0.556,album,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,0.921,2018-07-06--2018-07-13,135090.0,0.537,0JP9xo3adEtGSdUEISiszL,0.00404,9.0,0.102,-5.723,0.0,85.0,us,2018-03-16,0.0804,0JP9xo3adEtGSdUEISiszL,128.009,4.0,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,audio_features,spotify:track:0JP9xo3adEtGSdUEISiszL,0.711
Cardi B,9.0,8836989.0,I Like It,0.099,album,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.816,2018-07-06--2018-07-13,253390.0,0.726,58q2HKrzhC3ozto2nDdN4z,0.0,5.0,0.372,-3.998,0.0,82.0,us,2018-04-06,0.129,58q2HKrzhC3ozto2nDdN4z,136.048,4.0,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65
Tyga,10.0,8438869.0,Taste (feat. Offset),0.0236,single,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,0.884,2018-07-06--2018-07-13,232959.0,0.559,5IaHrVsrferBYDm0bDyABy,0.0,0.0,0.101,-7.442,1.0,80.0,us,2018-05-16,0.12,5IaHrVsrferBYDm0bDyABy,97.994,4.0,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,audio_features,spotify:track:5IaHrVsrferBYDm0bDyABy,0.342
