Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Post Malone,1.0,14539019.0,Goodbyes (Feat. Young Thug),0.447,single,https://api.spotify.com/v1/audio-analysis/6vBdBCoOhKHiYDDOcorfNo,0.58,2019-07-05--2019-07-12,174960.0,0.653,6vBdBCoOhKHiYDDOcorfNo,0.0,5.0,0.111,-3.818,1.0,16.0,us,2019-07-05,0.0745,6vBdBCoOhKHiYDDOcorfNo,150.231,4.0,https://api.spotify.com/v1/tracks/6vBdBCoOhKHiYDDOcorfNo,audio_features,spotify:track:6vBdBCoOhKHiYDDOcorfNo,0.175
Shawn Mendes,2.0,12280709.0,Señorita,0.037,single,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,0.759,2019-07-05--2019-07-12,190960.0,0.54,0TK2YIli7K1leLovkQiNik,0.0,9.0,0.0945,-6.039,0.0,88.0,us,2019-06-21,0.0287,0TK2YIli7K1leLovkQiNik,116.947,4.0,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,audio_features,spotify:track:0TK2YIli7K1leLovkQiNik,0.75
Lil Nas X,3.0,9872012.0,Panini,0.342,single,https://api.spotify.com/v1/audio-analysis/6fTt0CH2t0mdeB2N9XFG5r,0.703,2019-07-05--2019-07-12,114893.0,0.594,6fTt0CH2t0mdeB2N9XFG5r,0.0,5.0,0.123,-6.146,0.0,77.0,us,2019-06-21,0.0752,6fTt0CH2t0mdeB2N9XFG5r,153.848,4.0,https://api.spotify.com/v1/tracks/6fTt0CH2t0mdeB2N9XFG5r,audio_features,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,0.475
Drake,4.0,9522200.0,Money In The Grave (Drake ft. Rick Ross),0.101,single,https://api.spotify.com/v1/audio-analysis/5ry2OE6R2zPQFDO85XkgRb,0.831,2019-07-05--2019-07-12,205426.0,0.502,5ry2OE6R2zPQFDO85XkgRb,0.0,10.0,0.122,-4.045,0.0,85.0,us,2019-06-15,0.046,5ry2OE6R2zPQFDO85XkgRb,100.541,4.0,https://api.spotify.com/v1/tracks/5ry2OE6R2zPQFDO85XkgRb,audio_features,spotify:track:5ry2OE6R2zPQFDO85XkgRb,0.101
Lizzo,5.0,8771661.0,Truth Hurts,0.11,album,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,0.715,2019-07-05--2019-07-12,173325.0,0.624,5qmq61DAAOUaW8AUo8xKhh,0.0,4.0,0.123,-3.046,0.0,74.0,us,2019-05-03,0.114,5qmq61DAAOUaW8AUo8xKhh,158.087,4.0,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,audio_features,spotify:track:5qmq61DAAOUaW8AUo8xKhh,0.412
Billie Eilish,6.0,8366135.0,bad guy,0.328,album,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.701,2019-07-05--2019-07-12,194087.0,0.425,2Fxmhks0bxGSBdJ92vM42m,0.13,7.0,0.1,-10.965,1.0,91.0,us,2019-03-29,0.375,2Fxmhks0bxGSBdJ92vM42m,135.128,4.0,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.562
Lil Tecca,7.0,7914144.0,Ransom,0.0204,single,https://api.spotify.com/v1/audio-analysis/1kBbgxAUc4HQv7cgIayIDH,0.745,2019-07-05--2019-07-12,131280.0,0.642,1kBbgxAUc4HQv7cgIayIDH,0.0,7.0,0.0658,-6.257,0.0,12.0,us,2019-06-04,0.287,1kBbgxAUc4HQv7cgIayIDH,179.974,4.0,https://api.spotify.com/v1/tracks/1kBbgxAUc4HQv7cgIayIDH,audio_features,spotify:track:1kBbgxAUc4HQv7cgIayIDH,0.226
Post Malone,8.0,7211288.0,Sunflower - Spider-Man: Into the Spider-Verse,0.556,compilation,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,2019-07-05--2019-07-12,158040.0,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2.0,0.0703,-5.574,1.0,86.0,us,2018-12-14,0.0466,3KkXRkHbMCARz0aVfEt68P,89.911,4.0,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913
Ed Sheeran,9.0,7014919.0,Beautiful People (feat. Khalid),0.124,single,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,0.64,2019-07-05--2019-07-12,197866.0,0.648,4evmHXcjt3bTUHD1cvny97,0.0,5.0,0.0802,-8.113,0.0,84.0,us,2019-06-28,0.187,4evmHXcjt3bTUHD1cvny97,92.977,4.0,https://api.spotify.com/v1/tracks/4evmHXcjt3bTUHD1cvny97,audio_features,spotify:track:4evmHXcjt3bTUHD1cvny97,0.548
Lil Nas X,10.0,6625744.0,Old Town Road (feat. Billy Ray Cyrus) - Remix,0.0533,single,https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7,0.878,2019-07-05--2019-07-12,157066.0,0.619,6u7jPi22kF8CTQ3rb9DHE7,0.0,6.0,0.113,-5.56,1.0,18.0,us,2019-04-05,0.102,6u7jPi22kF8CTQ3rb9DHE7,136.041,4.0,https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7,audio_features,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,0.639
