Position,Track Name,Artist,Streams,date,region,spotify_id
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,14202522,2019-01-04--2019-01-11,us,3KkXRkHbMCARz0aVfEt68P
2,Wow.,Post Malone,12721360,2019-01-04--2019-01-11,us,6MWtB6iiXyIwun0YzU6DFP
3,Going Bad (feat. Drake),Meek Mill,9576466,2019-01-04--2019-01-11,us,2IRZnDFmlqMuOrYOLnZZyc
4,SICKO MODE,Travis Scott,9005380,2019-01-04--2019-01-11,us,2xLMifQCjDGFmkHkpNLD9h
5,Drip Too Hard (Lil Baby & Gunna),Lil Baby,8917200,2019-01-04--2019-01-11,us,78QR3Wp35dqAhFEc2qAGjE
6,"thank u, next",Ariana Grande,8590215,2019-01-04--2019-01-11,us,2rPE9A1vEgShuZxxzR2tZH
7,Without Me,Halsey,8442905,2019-01-04--2019-01-11,us,5p7ujcrUXASCNwRaWNHR1C
8,ZEZE (feat. Travis Scott & Offset),Kodak Black,7930686,2019-01-04--2019-01-11,us,0FZ4Dmg8jJJAPJnvBIzD9z
9,Mo Bamba,Sheck Wes,7305500,2019-01-04--2019-01-11,us,1xzBco0xcoJEDXktl7Jxrr
10,Leave Me Alone,Flipp Dinero,6455797,2019-01-04--2019-01-11,us,14mHfNsSHN0FbLftyjrV9g
11,Look Back at It,A Boogie Wit da Hoodie,6306240,2019-01-04--2019-01-11,us,3Ol2xnObFdKV9pmRD2t9x8
12,a lot,21 Savage,5842884,2019-01-04--2019-01-11,us,2t8yVaLvJ0RenpXUIAC52d
13,High Hopes,Panic! At The Disco,5716237,2019-01-04--2019-01-11,us,1rqqCSm0Qe4I9rUvWncaom
14,Wake Up in the Sky,Gucci Mane,5590754,2019-01-04--2019-01-11,us,2G1tXoGBaEMJ7FKGnkf6ud
15,Lucid Dreams,Juice WRLD,5155712,2019-01-04--2019-01-11,us,285pBltuF7vW8TeWk8hdRR
16,SAD!,XXXTENTACION,5044666,2019-01-04--2019-01-11,us,3ee8Jmje8o58CHK66QrVC2
17,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,5041228,2019-01-04--2019-01-11,us,0jAfdqv18goRTUxm3ilRjb
18,Better Now,Post Malone,4932963,2019-01-04--2019-01-11,us,7dt6x5M1jzdTEt8oCbisTK
19,Happier,Marshmello,4914581,2019-01-04--2019-01-11,us,2dpaYNEQHiRxtZbfNsse99
20,monster,21 Savage,4798501,2019-01-04--2019-01-11,us,2FUNBaa5DwItJtYEBgAblU
21,Money,Cardi B,4752055,2019-01-04--2019-01-11,us,2GGMabyHXnJmjY6CXhhB2e
