Position,Track Name,Artist,Streams,date,region,spotify_id
1,The Box,Roddy Ricch,18883695,2020-02-07--2020-02-14,us,0nbXyq5TXYPCO7pr3N8S4I
2,Life Is Good (feat. Drake),Future,11725270,2020-02-07--2020-02-14,us,5yY9lUy8nbvjM1Uyo1Uqoc
3,Intentions,Justin Bieber,9044309,2020-02-07--2020-02-14,us,364dI1bYnvamSnBJ8JcNzN
4,ROXANNE,Arizona Zervas,7884837,2020-02-07--2020-02-14,us,696DnlkuDOXcMAnKlTgXXK
5,High Fashion (feat. Mustard),Roddy Ricch,7616758,2020-02-07--2020-02-14,us,07KXEDMj78x68D884wgVEm
6,Blinding Lights,The Weeknd,7451597,2020-02-07--2020-02-14,us,0sf12qNH5qcw8qpgymFOqD
7,Godzilla (feat. Juice WRLD),Eminem,7235132,2020-02-07--2020-02-14,us,7FIWs0pqAYbP91WWM0vlTQ
8,Falling,Trevor Daniel,7079662,2020-02-07--2020-02-14,us,4TnjEaWOeW0eKTKIEvJyCa
9,Don't Start Now,Dua Lipa,6911464,2020-02-07--2020-02-14,us,6WrI0LAC5M1Rw2MnX2ZvEg
10,Circles,Post Malone,6696187,2020-02-07--2020-02-14,us,21jGcNKet2qwijlDFuPiPb
11,everything i wanted,Billie Eilish,6541461,2020-02-07--2020-02-14,us,3ZCTVFBt2Brf31RLEnCkWJ
12,BOP,DaBaby,6301127,2020-02-07--2020-02-14,us,6Ozh9Ok6h4Oi1wUSLtBseN
13,Dance Monkey,Tones And I,6209703,2020-02-07--2020-02-14,us,1rgnBhdG2JDFTbYkYRZAku
14,Suicidal,YNW Melly,6176413,2020-02-07--2020-02-14,us,1iSqfoUFnQwV0QW1EfUit8
15,Blueberry Faygo,Lil Mosey,5802868,2020-02-07--2020-02-14,us,6wJYhPfqk3KGhHRG76WzOh
16,Run,Joji,5759082,2020-02-07--2020-02-14,us,6p8eEdiZLKJH8tcjGZuNTK
17,Ballin' (with Roddy Ricch),Mustard,5519250,2020-02-07--2020-02-14,us,3QzAOrNlsabgbMwlZt7TAY
18,Say So,Doja Cat,5143429,2020-02-07--2020-02-14,us,3Dv1eDb0MEgF93GpLXlucZ
19,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,4913481,2020-02-07--2020-02-14,us,2FvD20Z8aoWIePi7PoN8sG
20,Bandit (with YoungBoy Never Broke Again),Juice WRLD,4880472,2020-02-07--2020-02-14,us,6Gg1gjgKi2AK4e0qzsR7sd
21,Adore You,Harry Styles,4800551,2020-02-07--2020-02-14,us,3jjujdWJ72nww5eGnfs2E7
22,You should be sad,Halsey,4657358,2020-02-07--2020-02-14,us,7lidXGPXPYLNThITAOTlkK
23,SUGAR,BROCKHAMPTON,4600863,2020-02-07--2020-02-14,us,6U0FIYXCQ3TGrk4tFpLrEA
24,Yummy,Justin Bieber,4600350,2020-02-07--2020-02-14,us,41L3O37CECZt3N7ziG2z7l
25,Woah,Lil Baby,4483207,2020-02-07--2020-02-14,us,598yNsG1JFrGd4n2kMoz7F
26,WHATS POPPIN,Jack Harlow,4454303,2020-02-07--2020-02-14,us,3Q6F8RByyhRTJpRtZLY3cg
27,OUT WEST (feat. Young Thug),JACKBOYS,4372723,2020-02-07--2020-02-14,us,6gi6y1xwmVszDWkUqab1qw
28,Know Your Worth,Khalid,4329604,2020-02-07--2020-02-14,us,0TrPqhAMoaKUFLR7iYDokf
29,My Oh My (feat. DaBaby),Camila Cabello,4323586,2020-02-07--2020-02-14,us,3yOlyBJuViE2YSGn3nVE1K
30,Someone You Loved,Lewis Capaldi,4305603,2020-02-07--2020-02-14,us,7qEHsqek33rTcFNT9PFqLf
31,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4187496,2020-02-07--2020-02-14,us,0RiRZpuVRbi7oqRdSMwhQY
32,Futsal Shuffle 2020,Lil Uzi Vert,4085926,2020-02-07--2020-02-14,us,2Ec33AVlkTTq8BHFgBTdQs
33,hot girl bummer,blackbear,3897852,2020-02-07--2020-02-14,us,7aiClxsDWFRQ0Kzk5KI5ku
34,Yikes,Nicki Minaj,3766495,2020-02-07--2020-02-14,us,75dLEqanQTupF3dtP9exT5
35,HIGHEST IN THE ROOM,Travis Scott,3754045,2020-02-07--2020-02-14,us,3eekarcy7kvN4yt5ZFzltW
36,bad guy,Billie Eilish,3721615,2020-02-07--2020-02-14,us,2Fxmhks0bxGSBdJ92vM42m
37,What A Man Gotta Do,Jonas Brothers,3629494,2020-02-07--2020-02-14,us,4wNIkl5XGiAACjFBlDWuSd
38,Good News,Mac Miller,3610046,2020-02-07--2020-02-14,us,1DWZUa5Mzf2BwzpHtgbHPY
39,Lucid Dreams,Juice WRLD,3606874,2020-02-07--2020-02-14,us,285pBltuF7vW8TeWk8hdRR
40,VIBEZ,DaBaby,3597119,2020-02-07--2020-02-14,us,0fySG6A6qLE8IvDpayb5bM
41,No Idea,Don Toliver,3537878,2020-02-07--2020-02-14,us,3VyjsVV24RmBIbWJAeUJNu
42,"I Do It (ft. Big Sean, Lil Baby)",Lil Wayne,3531253,2020-02-07--2020-02-14,us,1bRO28yzxgO3y3UmNR29TZ
43,Tusa,KAROL G,3519635,2020-02-07--2020-02-14,us,7k4t7uLgtOxPwTpFmtJNTY
44,Robbery,Juice WRLD,3502402,2020-02-07--2020-02-14,us,6Hj9jySrnFppAI0sEMCZpJ
45,Sum 2 Prove,Lil Baby,3375978,2020-02-07--2020-02-14,us,2u3EyuCqqV31woqGvO9LBz
46,"10,000 Hours (with Justin Bieber)",Dan + Shay,3331326,2020-02-07--2020-02-14,us,2wrJq5XKLnmhRXHIAf9xBa
47,GOODMORNINGTOKYO!,TOKYO’S REVENGE,3315507,2020-02-07--2020-02-14,us,0Q2n5yzl2XRqYbV77tZNYp
48,when the party's over,Billie Eilish,3227972,2020-02-07--2020-02-14,us,43zdsphuZLzwA9k4DJhU0I
49,Memories,Maroon 5,3206783,2020-02-07--2020-02-14,us,2b8fOow8UzyDFAE27YhOZM
50,Suge,DaBaby,3191234,2020-02-07--2020-02-14,us,2gwkD6igEhQbDQegRCcdoB
51,Lose You To Love Me,Selena Gomez,3157654,2020-02-07--2020-02-14,us,4l0Mvzj72xxOpRrp6h8nHi
52,Sunday Best,Surfaces,3061897,2020-02-07--2020-02-14,us,1Cv1YLb4q0RzL6pybtaMLo
53,Broke In A Minute,Tory Lanez,3019824,2020-02-07--2020-02-14,us,2ZrAjMSmlbDIil0JaVgTHh
54,Physical,Dua Lipa,2986777,2020-02-07--2020-02-14,us,5px6upUHM3fhOP621Edp4V
55,Money In The Grave (Drake ft. Rick Ross),Drake,2979560,2020-02-07--2020-02-14,us,5ry2OE6R2zPQFDO85XkgRb
56,Heartless,The Weeknd,2925214,2020-02-07--2020-02-14,us,57vxBYXtHMk6H1aD29V7PU
57,ORANGE SODA,Baby Keem,2886758,2020-02-07--2020-02-14,us,5FkoSXiJPKTNyYgALRJFhD
58,Before You Go,Lewis Capaldi,2886609,2020-02-07--2020-02-14,us,2gMXnyrvIjhVBUZwvLZDMP
59,Ransom,Lil Tecca,2885563,2020-02-07--2020-02-14,us,1lOe9qE0vR9zwWQAOk6CoO
60,Rare,Selena Gomez,2862506,2020-02-07--2020-02-14,us,7HMmFQsKsljwTw8bS7lu19
61,No Shame,5 Seconds of Summer,2834457,2020-02-07--2020-02-14,us,5JSVa5i6lFPoyOzK4gj0Ox
62,YELL OH,Trippie Redd,2804451,2020-02-07--2020-02-14,us,003VDDA7J3Xb2ZFlNx7nIZ
63,Goodbyes (Feat. Young Thug),Post Malone,2776823,2020-02-07--2020-02-14,us,6vBdBCoOhKHiYDDOcorfNo
64,223's (feat. 9lokknine),YNW Melly,2751597,2020-02-07--2020-02-14,us,29ZXwWOOLz9t5fa3eT3i7T
65,Truth Hurts,Lizzo,2736739,2020-02-07--2020-02-14,us,3HWzoMvoF3TQfYg4UPszDq
66,lovely (with Khalid),Billie Eilish,2732497,2020-02-07--2020-02-14,us,0u2P5u6lvoDfwTYjAADbn4
67,MIDDLE CHILD,J. Cole,2727348,2020-02-07--2020-02-14,us,2JvzF1RMd7lE3KmFlsyZD8
68,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,2727253,2020-02-07--2020-02-14,us,4ea9w8c4ROqiZpJVhfBA3m
69,If the World Was Ending - feat. Julia Michaels,JP Saxe,2700344,2020-02-07--2020-02-14,us,2kJwzbxV2ppxnQoYw4GLBZ
70,July,Noah Cyrus,2671564,2020-02-07--2020-02-14,us,5a6pdCHlWS2ekOOQ70QnAr
71,Wow.,Post Malone,2664508,2020-02-07--2020-02-14,us,7xQAfvXzm3AkraOtGPWIZg
72,Watermelon Sugar,Harry Styles,2664219,2020-02-07--2020-02-14,us,6UelLqGlWMcVH1E5c4H7lY
73,SLOW DANCING IN THE DARK,Joji,2656058,2020-02-07--2020-02-14,us,0rKtyWc8bvkriBthvHKY8d
74,All Girls Are The Same,Juice WRLD,2655351,2020-02-07--2020-02-14,us,4VXIryQMWpIdGgYR4TrjT1
75,What If I Told You That I Love You,Ali Gatie,2654795,2020-02-07--2020-02-14,us,3cqPu20DGTGUoZtbJH2Dmi
76,Make No Sense,YoungBoy Never Broke Again,2581435,2020-02-07--2020-02-14,us,6klLvorLoo1sxvZcjJIY8I
77,No Guidance (feat. Drake),Chris Brown,2581050,2020-02-07--2020-02-14,us,6XHVuErjQ4XNm6nDPVCxVX
78,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,2574539,2020-02-07--2020-02-14,us,0JjM9bKm4wrwohMslcm892
79,EARFQUAKE,"Tyler, The Creator",2525669,2020-02-07--2020-02-14,us,5hVghJ4KaYES3BFUATCYn0
80,Only The Young - Featured in Miss Americana,Taylor Swift,2517785,2020-02-07--2020-02-14,us,2slqvGLwzZZYsT4K4Y1GBC
81,Start Wit Me (feat. Gunna),Roddy Ricch,2496303,2020-02-07--2020-02-14,us,7A20WnLkjtZU2d7hIB6Ziu
82,me & ur ghost,blackbear,2456561,2020-02-07--2020-02-14,us,4yJiXq86uM56uIfIZgE440
83,Señorita,Shawn Mendes,2446460,2020-02-07--2020-02-14,us,6v3KW9xbzN5yKLt9YKDYA2
84,Stuck In A Dream (feat. Gunna),Lil Mosey,2440598,2020-02-07--2020-02-14,us,7iHHxY2NLlJRAmlAmC4ahQ
85,Camelot,NLE Choppa,2405478,2020-02-07--2020-02-14,us,4sWuPniHClkInYAnzXAYUF
86,Baby (Lil Baby feat. DaBaby),Quality Control,2403407,2020-02-07--2020-02-14,us,5MPPttjfGap2C6j6eKcO6J
87,Going Bad (feat. Drake),Meek Mill,2391169,2020-02-07--2020-02-14,us,2IRZnDFmlqMuOrYOLnZZyc
88,King Of My City,A Boogie Wit da Hoodie,2374991,2020-02-07--2020-02-14,us,4GyMIm2BEMoOXjmIvSpfLi
89,Murder On My Mind,YNW Melly,2371167,2020-02-07--2020-02-14,us,7eBqSVxrzQZtK2mmgRG6lC
90,Death,Trippie Redd,2348709,2020-02-07--2020-02-14,us,3Kd6Wp3lG5HXMB2dlvuy7y
91,RITMO (Bad Boys For Life),Black Eyed Peas,2340268,2020-02-07--2020-02-14,us,6cy3ki60hLwimwIje7tALf
92,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2308625,2020-02-07--2020-02-14,us,78QR3Wp35dqAhFEc2qAGjE
93,Jocelyn Flores,XXXTENTACION,2308262,2020-02-07--2020-02-14,us,7m9OqQk4RVRkw9JJdeAw96
94,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2304300,2020-02-07--2020-02-14,us,4Yxc55NX3tAXC2mHRAhtcW
95,Pop Out (feat. Lil Tjay),Polo G,2278785,2020-02-07--2020-02-14,us,6uFn47ACjqYkc0jADwEdj1
96,Keii,Anuel AA,2277970,2020-02-07--2020-02-14,us,5eEQCfq7MXQr6aHLNRUZLs
97,Maniac,Conan Gray,2272163,2020-02-07--2020-02-14,us,7hpJ9tATWb2vztlq99hERP
98,Hate Me (with Juice WRLD),Ellie Goulding,2249002,2020-02-07--2020-02-14,us,6kls8cSlUyHW2BUOkDJIZE
99,Vete,Bad Bunny,2238643,2020-02-07--2020-02-14,us,5DxXgozhkPLgrbKFY91w0c
100,SICKO MODE,Travis Scott,2238062,2020-02-07--2020-02-14,us,2xLMifQCjDGFmkHkpNLD9h
101,Legends,Juice WRLD,2208616,2020-02-07--2020-02-14,us,1Knctxx9vGZxpZfF66BIEa
102,Yellow Hearts,Ant Saunders,2206227,2020-02-07--2020-02-14,us,2W4yABdLc4Jnds67Poi5Nl
103,SAD!,XXXTENTACION,2184337,2020-02-07--2020-02-14,us,3ee8Jmje8o58CHK66QrVC2
104,F.N,Lil Tjay,2183034,2020-02-07--2020-02-14,us,0RLLvYBopDwooCyvnTwgYu
105,ocean eyes,Billie Eilish,2157533,2020-02-07--2020-02-14,us,2uIX8YMNjGMD7441kqyyNU
106,The London (feat. J. Cole & Travis Scott),Young Thug,2144067,2020-02-07--2020-02-14,us,3s4mrPrEFFPF0LmAfutW0n
107,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,2132792,2020-02-07--2020-02-14,us,7h0d2h0fUmzbs7zeFigJPn
108,I Fall Apart,Post Malone,2128749,2020-02-07--2020-02-14,us,75ZvA4QfFiZvzhj2xkaWAh
109,One Thing Right,Marshmello,2117166,2020-02-07--2020-02-14,us,4hPpVbbakQNv8YTHYaOJP4
110,rockstar (feat. 21 Savage),Post Malone,2117058,2020-02-07--2020-02-14,us,0e7ipj03S05BNilyu5bRzt
111,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2084640,2020-02-07--2020-02-14,us,1wJRveJZLSb1rjhnUHQiv6
112,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,2084036,2020-02-07--2020-02-14,us,7CZyCXKG6d5ALeq41sLzbw
113,7 rings,Ariana Grande,2073979,2020-02-07--2020-02-14,us,6ocbgoVGwYJhOv1GgI9NsF
114,No Judgement,Niall Horan,2052888,2020-02-07--2020-02-14,us,5IUOU5xkzGHsRFOYNu3GSK
115,BEST ON EARTH (feat. BIA) - Bonus,Russ,2040471,2020-02-07--2020-02-14,us,0xKBkLcF71uUQeTA7FSu4A
116,Revenge,Joyner Lucas,2033146,2020-02-07--2020-02-14,us,43mwjiAXLMqkOv4vtlNweU
117,Enemies (feat. DaBaby),Post Malone,2033084,2020-02-07--2020-02-14,us,0Xek5rqai2jcOWCYWJfVCF
118,Without Me,Halsey,2022734,2020-02-07--2020-02-14,us,6FZDfxM3a3UCqtzo5pxSLZ
119,FML,Arizona Zervas,2018588,2020-02-07--2020-02-14,us,6lruHh1jF7ezgbLv72xYmf
120,Peta (feat. Meek Mill),Roddy Ricch,1994557,2020-02-07--2020-02-14,us,4bl1HBZliBuYpFZjWgefE4
121,One Man Band,Old Dominion,1994415,2020-02-07--2020-02-14,us,08dFHFTx6r67MTsYn5ilDR
122,Lalala,Y2K,1993555,2020-02-07--2020-02-14,us,51Fjme0JiitpyXKuyQiCDo
123,Lose Control,MEDUZA,1990633,2020-02-07--2020-02-14,us,7CHi4DtfK4heMlQaudCuHK
124,Beautiful People (feat. Khalid),Ed Sheeran,1979546,2020-02-07--2020-02-14,us,70eFcWOvlMObDhURTqT4Fv
125,Better Now,Post Malone,1969783,2020-02-07--2020-02-14,us,7dt6x5M1jzdTEt8oCbisTK
126,Lights Up,Harry Styles,1955402,2020-02-07--2020-02-14,us,4jAIqgrPjKLTY9Gbez25Qb
127,Armed And Dangerous,Juice WRLD,1948917,2020-02-07--2020-02-14,us,5wujBwqG7INdStqGd4tRMX
128,I Don't Care (with Justin Bieber),Ed Sheeran,1947039,2020-02-07--2020-02-14,us,0hVXuCcriWRGvwMV1r5Yn9
129,VALENTINO,24kGoldn,1945712,2020-02-07--2020-02-14,us,6piAUJJQFD8oHDUr0b7l7q
130,I Hope,Gabby Barrett,1944662,2020-02-07--2020-02-14,us,2Hc4t9N2nt37oO4sF9BynI
131,Panini,Lil Nas X,1943211,2020-02-07--2020-02-14,us,1000nHvUdawXuUHgBod4Wv
132,Falling,Harry Styles,1931200,2020-02-07--2020-02-14,us,1ZMiCix7XSAbfAJlEZWMCp
133,Talk (feat. Disclosure),Khalid,1915358,2020-02-07--2020-02-14,us,6TqXcAFInzjp0bODyvrWEq
134,You Need To Calm Down,Taylor Swift,1912917,2020-02-07--2020-02-14,us,6RRNNciQGZEXnqk8SQ9yv5
135,Blue World,Mac Miller,1909374,2020-02-07--2020-02-14,us,2hwOoMtWPtTSSn6WHV7Vp5
136,Sanguine Paradise,Lil Uzi Vert,1898744,2020-02-07--2020-02-14,us,3XiNC94b4Tq1xwv70sQJGN
137,How I Move (feat. Lil Baby),Flipp Dinero,1898510,2020-02-07--2020-02-14,us,14X1WxiHXdVRJ99cMCBzOE
138,Eastside (with Halsey & Khalid),benny blanco,1897652,2020-02-07--2020-02-14,us,7FGq80cy8juXBCD2nrqdWU
139,XO Tour Llif3,Lil Uzi Vert,1896778,2020-02-07--2020-02-14,us,7GX5flRQZVHRAGd6B4TmDO
140,Never Seen the Rain,Tones And I,1895109,2020-02-07--2020-02-14,us,2grAr8pWMuLWn8ZYEE9wDV
141,Beautiful Crazy,Luke Combs,1895102,2020-02-07--2020-02-14,us,2rxQMGVafnNaRaXlRMWPde
