Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Ed Sheeran,1.0,10969080.0,Shape of You,0.581,album,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,0.825,2017-01-06--2017-01-13,233712.0,0.652,7qiZfU4dY1lWllzX7mPBI3,0.0,1.0,0.0931,-3.183,0.0,85.0,us,2017-03-03,0.0802,7qiZfU4dY1lWllzX7mPBI3,95.977,4.0,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.931
Migos,2.0,10112877.0,Bad and Boujee (feat. Lil Uzi Vert),0.061,album,https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR,0.927,2017-01-06--2017-01-13,343150.0,0.665,4Km5HrUvYTaSUfiSGPJeQR,0.0,11.0,0.123,-5.313,1.0,76.0,us,2017-01-27,0.244,4Km5HrUvYTaSUfiSGPJeQR,127.076,4.0,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,audio_features,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,0.175
Drake,3.0,8459802.0,Fake Love,0.105,album,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.928,2017-01-06--2017-01-13,210937.0,0.481,343YBumqHu19cGoGARUTsd,0.0,9.0,0.176,-9.35,0.0,75.0,us,2017-03-18,0.287,343YBumqHu19cGoGARUTsd,134.007,4.0,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.613
Ed Sheeran,4.0,7600859.0,Castle on the Hill,0.0232,album,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,0.461,2017-01-06--2017-01-13,261153.0,0.834,6PCUP3dWmTjcTtXY02oFdT,1.14e-05,2.0,0.14,-4.868,1.0,78.0,us,2017-03-03,0.0989,6PCUP3dWmTjcTtXY02oFdT,135.007,4.0,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,audio_features,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.471
The Weeknd,5.0,7245714.0,Starboy,0.165,album,https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z,0.681,2017-01-06--2017-01-13,230453.0,0.594,5aAx2yezTd8zXrkmtKl66Z,3.49e-06,7.0,0.134,-7.028,1.0,6.0,us,2016-11-25,0.282,5aAx2yezTd8zXrkmtKl66Z,186.054,4.0,https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z,audio_features,spotify:track:5aAx2yezTd8zXrkmtKl66Z,0.535
ZAYN,6.0,5940766.0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,single,https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0,0.735,2017-01-06--2017-01-13,245200.0,0.451,3NdDpSvN911VPGivFlV5d0,1.3e-05,0.0,0.325,-8.374,1.0,5.0,us,2016-12-09,0.0585,3NdDpSvN911VPGivFlV5d0,117.973,4.0,https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0,audio_features,spotify:track:3NdDpSvN911VPGivFlV5d0,0.0862
Big Sean,7.0,5384798.0,Bounce Back,0.106,album,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,0.78,2017-01-06--2017-01-13,222360.0,0.575,0SGkqnVQo9KPytSri1H6cF,0.0,1.0,0.129,-5.628,0.0,75.0,us,2017-02-03,0.139,0SGkqnVQo9KPytSri1H6cF,81.502,4.0,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,audio_features,spotify:track:0SGkqnVQo9KPytSri1H6cF,0.273
Rae Sremmurd,8.0,5319110.0,Black Beatles,0.142,album,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo,0.794,2017-01-06--2017-01-13,291893.0,0.632,6fujklziTHa8uoM5OQSfIo,0.0,0.0,0.128,-6.163,1.0,76.0,us,2016-08-12,0.0649,6fujklziTHa8uoM5OQSfIo,145.926,4.0,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,audio_features,spotify:track:6fujklziTHa8uoM5OQSfIo,0.355
Aminé,9.0,5264976.0,Caroline,0.303,single,https://api.spotify.com/v1/audio-analysis/5GFDrUTLGJix84sNhjCG0g,0.945,2017-01-06--2017-01-13,209746.0,0.394,5GFDrUTLGJix84sNhjCG0g,0.0,10.0,0.131,-8.571,1.0,0.0,us,2016-08-26,0.492,5GFDrUTLGJix84sNhjCG0g,120.058,4.0,https://api.spotify.com/v1/tracks/5GFDrUTLGJix84sNhjCG0g,audio_features,spotify:track:5GFDrUTLGJix84sNhjCG0g,0.743
The Chainsmokers,10.0,5145003.0,Closer,0.414,single,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,2017-01-06--2017-01-13,244960.0,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8.0,0.111,-5.599,1.0,84.0,us,2016-07-29,0.0338,7BKLCZ1jbUBVqRi2FVlTVw,95.01,4.0,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.661
