Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Drake,1.0,18346125.0,Nice For What,0.0934,single,https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN,0.567,2018-04-06--2018-04-13,210925.0,0.913,1cTZMwcBJT0Ka3UJPXOeeN,0.000124,8.0,0.114,-6.471,1.0,6.0,us,2018-04-06,0.0736,1cTZMwcBJT0Ka3UJPXOeeN,93.35,4.0,https://api.spotify.com/v1/tracks/1cTZMwcBJT0Ka3UJPXOeeN,audio_features,spotify:track:1cTZMwcBJT0Ka3UJPXOeeN,0.792
Drake,2.0,13473096.0,God's Plan,0.0309,single,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,0.758,2018-04-06--2018-04-13,198960.0,0.448,2XW4DbS6NddZxRPm5rMCeY,8.67e-05,7.0,0.558,-9.441,1.0,6.0,us,2018-01-20,0.103,2XW4DbS6NddZxRPm5rMCeY,77.176,4.0,https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY,audio_features,spotify:track:2XW4DbS6NddZxRPm5rMCeY,0.373
Post Malone,3.0,10636718.0,Psycho (feat. Ty Dolla $ign),0.566,single,https://api.spotify.com/v1/audio-analysis/65NwOZqoXny4JxqAPlfxRF,0.74,2018-04-06--2018-04-13,220880.0,0.558,65NwOZqoXny4JxqAPlfxRF,0.0,8.0,0.112,-8.115,1.0,2.0,us,2018-02-23,0.102,65NwOZqoXny4JxqAPlfxRF,140.057,4.0,https://api.spotify.com/v1/tracks/65NwOZqoXny4JxqAPlfxRF,audio_features,spotify:track:65NwOZqoXny4JxqAPlfxRF,0.421
BlocBoy JB,4.0,10495518.0,Look Alive (feat. Drake),0.00104,single,https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL,0.922,2018-04-06--2018-04-13,181263.0,0.581,4qKcDkK6siZ7Jp1Jb4m0aL,5.86e-05,10.0,0.105,-7.495,1.0,77.0,us,2018-02-09,0.27,4qKcDkK6siZ7Jp1Jb4m0aL,140.022,4.0,https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL,audio_features,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,0.595
The Weeknd,5.0,10422044.0,Call Out My Name,0.218,single,https://api.spotify.com/v1/audio-analysis/1gm616Plq4ScqNi7TVkZ5N,0.489,2018-04-06--2018-04-13,228373.0,0.598,1gm616Plq4ScqNi7TVkZ5N,0.0,1.0,0.35,-4.929,1.0,2.0,us,2018-03-29,0.036,1gm616Plq4ScqNi7TVkZ5N,134.045,3.0,https://api.spotify.com/v1/tracks/1gm616Plq4ScqNi7TVkZ5N,audio_features,spotify:track:1gm616Plq4ScqNi7TVkZ5N,0.172
XXXTENTACION,6.0,9856972.0,SAD!,0.258,album,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,0.74,2018-04-06--2018-04-13,166605.0,0.613,3ee8Jmje8o58CHK66QrVC2,0.00372,8.0,0.123,-4.88,1.0,87.0,us,2018-03-16,0.145,3ee8Jmje8o58CHK66QrVC2,75.023,4.0,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,0.473
Rich The Kid,7.0,8789836.0,Plug Walk,0.202,album,https://api.spotify.com/v1/audio-analysis/6mAz8D1TmlTuef90dbNIiZ,0.876,2018-04-06--2018-04-13,175229.0,0.519,6mAz8D1TmlTuef90dbNIiZ,0.0,11.0,0.108,-6.531,1.0,2.0,us,2018-03-30,0.143,6mAz8D1TmlTuef90dbNIiZ,94.981,4.0,https://api.spotify.com/v1/tracks/6mAz8D1TmlTuef90dbNIiZ,audio_features,spotify:track:6mAz8D1TmlTuef90dbNIiZ,0.158
Cardi B,8.0,7821295.0,I Like It,0.099,album,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.816,2018-04-06--2018-04-13,253390.0,0.726,58q2HKrzhC3ozto2nDdN4z,0.0,5.0,0.372,-3.998,0.0,82.0,us,2018-04-06,0.129,58q2HKrzhC3ozto2nDdN4z,136.048,4.0,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65
Lil Dicky,9.0,7424244.0,Freaky Friday (feat. Chris Brown),0.147,single,https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ,0.755,2018-04-06--2018-04-13,216631.0,0.599,10Igtw8bSDyyFs7KIsKngZ,0.0,8.0,0.109,-5.042,1.0,76.0,us,2018-03-15,0.224,10Igtw8bSDyyFs7KIsKngZ,133.123,4.0,https://api.spotify.com/v1/tracks/10Igtw8bSDyyFs7KIsKngZ,audio_features,spotify:track:10Igtw8bSDyyFs7KIsKngZ,0.755
Cardi B,10.0,7337089.0,Be Careful,0.0256,album,https://api.spotify.com/v1/audio-analysis/2Yl4OmDby9iitgNWZPwxkd,0.82,2018-04-06--2018-04-13,210787.0,0.568,2Yl4OmDby9iitgNWZPwxkd,0.0,6.0,0.0952,-8.23,0.0,70.0,us,2018-04-06,0.411,2Yl4OmDby9iitgNWZPwxkd,152.279,4.0,https://api.spotify.com/v1/tracks/2Yl4OmDby9iitgNWZPwxkd,audio_features,spotify:track:2Yl4OmDby9iitgNWZPwxkd,0.535
