Position,Track Name,Artist,Streams,date,region,spotify_id
1,The Box,Roddy Ricch,13973559,2020-03-06--2020-03-13,us,0nbXyq5TXYPCO7pr3N8S4I
2,Baby Pluto,Lil Uzi Vert,13066541,2020-03-06--2020-03-13,us,7hav1MHURQf5SAoPk0egqh
3,That Way - Bonus Track,Lil Uzi Vert,11709004,2020-03-06--2020-03-13,us,2ajzBr7vwHTEBeqDzcsNRC
4,P2,Lil Uzi Vert,11392465,2020-03-06--2020-03-13,us,3kW4z2pIj5VY5fLjBrMRL5
5,Lo Mein,Lil Uzi Vert,11302903,2020-03-06--2020-03-13,us,6CUP2khYzdphXebxVTfPE3
6,Silly Watch,Lil Uzi Vert,10568433,2020-03-06--2020-03-13,us,5egD7A5x9AHdVO2fMo3Wbo
7,Homecoming,Lil Uzi Vert,8918334,2020-03-06--2020-03-13,us,6vxU64pcIuQ38O015Zy4qj
8,Blueberry Faygo,Lil Mosey,8507559,2020-03-06--2020-03-13,us,22LAwLoDA5b4AaGSkg6bKW
9,Blinding Lights,The Weeknd,8340706,2020-03-06--2020-03-13,us,0sf12qNH5qcw8qpgymFOqD
10,Prices,Lil Uzi Vert,8141579,2020-03-06--2020-03-13,us,4YcWzLSnGqLjSCycuSMHnn
11,I'm Sorry,Lil Uzi Vert,8104607,2020-03-06--2020-03-13,us,1xcOYJxDa5pObgxY1r0I9c
12,Say So,Doja Cat,7614463,2020-03-06--2020-03-13,us,3Dv1eDb0MEgF93GpLXlucZ
13,POP,Lil Uzi Vert,7501164,2020-03-06--2020-03-13,us,1jDbQz6tr52WgScCTXMnaN
14,Celebration Station,Lil Uzi Vert,7236905,2020-03-06--2020-03-13,us,25B5fGr9K0VdZJiRFsnMO4
15,Intentions (feat. Quavo),Justin Bieber,7179199,2020-03-06--2020-03-13,us,4umIPjkehX1r7uhmGvXiSV
16,Bigger Than Life,Lil Uzi Vert,6979576,2020-03-06--2020-03-13,us,2oHDJHNondITqbl8xZ9vPn
17,Venetia,Lil Uzi Vert,6974452,2020-03-06--2020-03-13,us,3BYIzNZ3t9lRQCACXSMLrT
18,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,6930370,2020-03-06--2020-03-13,us,2fOlBMkWR7lXJfqp5VTbDG
19,You Better Move,Lil Uzi Vert,6911717,2020-03-06--2020-03-13,us,6YAxCn4juTWn5hWl2hzHGw
20,Life Is Good (feat. Drake),Future,6653567,2020-03-06--2020-03-13,us,5yY9lUy8nbvjM1Uyo1Uqoc
21,ROXANNE,Arizona Zervas,6460260,2020-03-06--2020-03-13,us,696DnlkuDOXcMAnKlTgXXK
22,High Fashion (feat. Mustard),Roddy Ricch,6340368,2020-03-06--2020-03-13,us,07KXEDMj78x68D884wgVEm
23,Don't Start Now,Dua Lipa,6287047,2020-03-06--2020-03-13,us,6WrI0LAC5M1Rw2MnX2ZvEg
24,La Difícil,Bad Bunny,6265355,2020-03-06--2020-03-13,us,6NfrH0ANGmgBXyxgV2PeXt
