Position,Track Name,Artist,Streams,date,region,spotify_id
1,HIGHEST IN THE ROOM,Travis Scott,20518547,2019-10-04--2019-10-11,us,3eekarcy7kvN4yt5ZFzltW
2,"10,000 Hours (with Justin Bieber)",Dan + Shay,11129577,2019-10-04--2019-10-11,us,2wrJq5XKLnmhRXHIAf9xBa
3,Circles,Post Malone,10046611,2019-10-04--2019-10-11,us,21jGcNKet2qwijlDFuPiPb
4,Bandit (with YoungBoy Never Broke Again),Juice WRLD,9652455,2019-10-04--2019-10-11,us,6Gg1gjgKi2AK4e0qzsR7sd
5,223's (feat. 9lokknine),YNW Melly,7409895,2019-10-04--2019-10-11,us,4sjiIpEv617LDXaidKioOI
6,Truth Hurts,Lizzo,7065663,2019-10-04--2019-10-11,us,5qmq61DAAOUaW8AUo8xKhh
7,hot girl bummer,blackbear,6561090,2019-10-04--2019-10-11,us,7aiClxsDWFRQ0Kzk5KI5ku
8,Ransom,Lil Tecca,6331945,2019-10-04--2019-10-11,us,1lOe9qE0vR9zwWQAOk6CoO
9,Someone You Loved,Lewis Capaldi,6105495,2019-10-04--2019-10-11,us,7qEHsqek33rTcFNT9PFqLf
10,Camelot,NLE Choppa,6084351,2019-10-04--2019-10-11,us,4sWuPniHClkInYAnzXAYUF
11,Hot (feat. Gunna),Young Thug,5994683,2019-10-04--2019-10-11,us,5Z8HZM6iQMhhqyPcCGY5g9
12,Goodbyes (Feat. Young Thug),Post Malone,5971146,2019-10-04--2019-10-11,us,6vBdBCoOhKHiYDDOcorfNo
13,No Guidance (feat. Drake),Chris Brown,5914874,2019-10-04--2019-10-11,us,6XHVuErjQ4XNm6nDPVCxVX
14,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5807807,2019-10-04--2019-10-11,us,0RiRZpuVRbi7oqRdSMwhQY
15,Panini,Lil Nas X,5689437,2019-10-04--2019-10-11,us,1000nHvUdawXuUHgBod4Wv
16,Saint-Tropez,Post Malone,5655643,2019-10-04--2019-10-11,us,05mDaV9Vb3wrzjF6OPZnhq
17,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,5563158,2019-10-04--2019-10-11,us,7CZyCXKG6d5ALeq41sLzbw
18,Money In The Grave (Drake ft. Rick Ross),Drake,5498657,2019-10-04--2019-10-11,us,5ry2OE6R2zPQFDO85XkgRb
19,BOP,DaBaby,5463340,2019-10-04--2019-10-11,us,6Ozh9Ok6h4Oi1wUSLtBseN
20,VIBEZ,DaBaby,5399322,2019-10-04--2019-10-11,us,0fySG6A6qLE8IvDpayb5bM
21,Enemies (feat. DaBaby),Post Malone,5139771,2019-10-04--2019-10-11,us,0Xek5rqai2jcOWCYWJfVCF
22,Señorita,Shawn Mendes,5089857,2019-10-04--2019-10-11,us,6v3KW9xbzN5yKLt9YKDYA2
23,Memories,Maroon 5,4737913,2019-10-04--2019-10-11,us,2b8fOow8UzyDFAE27YhOZM
24,Good as Hell,Lizzo,4472027,2019-10-04--2019-10-11,us,3Yh9lZcWyKrK9GjbhuS0hR
