Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Lil Nas X,1.0,20673623.0,Old Town Road (feat. Billy Ray Cyrus) - Remix,0.0533,single,https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7,0.878,2019-04-05--2019-04-12,157066.0,0.619,6u7jPi22kF8CTQ3rb9DHE7,0.0,6.0,0.113,-5.56,1.0,18.0,us,2019-04-05,0.102,6u7jPi22kF8CTQ3rb9DHE7,136.041,4.0,https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7,audio_features,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,0.639
Lil Nas X,2.0,15186440.0,Old Town Road,0.0361,single,https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O,0.908,2019-04-05--2019-04-12,113013.0,0.517,53CJANUxooaqGOtdsBTh7O,1.73e-06,1.0,0.0949,-6.063,1.0,12.0,us,2019-03-14,0.129,53CJANUxooaqGOtdsBTh7O,136.019,4.0,https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O,audio_features,spotify:track:53CJANUxooaqGOtdsBTh7O,0.471
Billie Eilish,3.0,13890824.0,bad guy,0.328,album,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.701,2019-04-05--2019-04-12,194087.0,0.425,2Fxmhks0bxGSBdJ92vM42m,0.13,7.0,0.1,-10.965,1.0,91.0,us,2019-03-29,0.375,2Fxmhks0bxGSBdJ92vM42m,135.128,4.0,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.562
Post Malone,4.0,8696363.0,Sunflower - Spider-Man: Into the Spider-Verse,0.556,compilation,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,2019-04-05--2019-04-12,158040.0,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2.0,0.0703,-5.574,1.0,86.0,us,2018-12-14,0.0466,3KkXRkHbMCARz0aVfEt68P,89.911,4.0,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913
Billie Eilish,5.0,8165235.0,wish you were gay,0.39,album,https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD,0.853,2019-04-05--2019-04-12,221543.0,0.351,3Fj47GNK2kUF0uaEDgXLaD,9.38e-06,7.0,0.752,-10.198,1.0,82.0,us,2019-03-29,0.241,3Fj47GNK2kUF0uaEDgXLaD,118.028,4.0,https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD,audio_features,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.282
J. Cole,6.0,7808654.0,MIDDLE CHILD,0.149,single,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,0.837,2019-04-05--2019-04-12,213593.0,0.364,2JvzF1RMd7lE3KmFlsyZD8,0.0,8.0,0.271,-11.713,1.0,83.0,us,2019-01-23,0.276,2JvzF1RMd7lE3KmFlsyZD8,123.984,4.0,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,audio_features,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,0.463
A Boogie Wit da Hoodie,7.0,7378430.0,Swervin (feat. 6ix9ine),0.0153,album,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,0.581,2019-04-05--2019-04-12,189486.0,0.662,1wJRveJZLSb1rjhnUHQiv6,0.0,9.0,0.111,-5.239,1.0,83.0,us,2018-12-21,0.303,1wJRveJZLSb1rjhnUHQiv6,93.023,4.0,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,audio_features,spotify:track:1wJRveJZLSb1rjhnUHQiv6,0.434
Khalid,8.0,7292412.0,Talk (feat. Disclosure),0.051,album,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,0.901,2019-04-05--2019-04-12,197573.0,0.4,6TqXcAFInzjp0bODyvrWEq,0.0,0.0,0.0599,-8.575,1.0,79.0,us,2019-04-05,0.126,6TqXcAFInzjp0bODyvrWEq,135.984,4.0,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,audio_features,spotify:track:6TqXcAFInzjp0bODyvrWEq,0.346
Khalid,9.0,7094716.0,Outta My Head (with John Mayer),0.0174,album,https://api.spotify.com/v1/audio-analysis/09oZ9eXQ2fo6YDrPzJqAoP,0.729,2019-04-05--2019-04-12,177066.0,0.545,09oZ9eXQ2fo6YDrPzJqAoP,0.000274,0.0,0.369,-7.818,1.0,72.0,us,2019-04-05,0.0316,09oZ9eXQ2fo6YDrPzJqAoP,103.012,4.0,https://api.spotify.com/v1/tracks/09oZ9eXQ2fo6YDrPzJqAoP,audio_features,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,0.514
Khalid,10.0,6978918.0,Better,0.0765,album,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,0.596,2019-04-05--2019-04-12,229320.0,0.552,6zeeWid2sgw4lap2jV61PZ,0.334,0.0,0.104,-10.278,0.0,78.0,us,2018-10-18,0.097,6zeeWid2sgw4lap2jV61PZ,97.949,4.0,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,audio_features,spotify:track:6zeeWid2sgw4lap2jV61PZ,0.112
