Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Travis Scott,1.0,20518547.0,HIGHEST IN THE ROOM,0.0546,single,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,0.598,2019-10-04--2019-10-11,175720.0,0.427,3eekarcy7kvN4yt5ZFzltW,5.83e-06,7.0,0.21,-8.764,0.0,91.0,us,2019-10-04,0.0317,3eekarcy7kvN4yt5ZFzltW,76.469,4.0,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,audio_features,spotify:track:3eekarcy7kvN4yt5ZFzltW,0.0605
Dan + Shay,2.0,11129577.0,"10,000 Hours (with Justin Bieber)",0.153,single,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,0.654,2019-10-04--2019-10-11,167693.0,0.63,2wrJq5XKLnmhRXHIAf9xBa,0.0,10.0,0.111,-4.644,1.0,87.0,us,2019-10-04,0.0259,2wrJq5XKLnmhRXHIAf9xBa,89.991,4.0,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,audio_features,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,0.43
Post Malone,3.0,10046611.0,Circles,0.192,album,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,0.695,2019-10-04--2019-10-11,215280.0,0.762,21jGcNKet2qwijlDFuPiPb,0.00244,0.0,0.0863,-3.497,1.0,92.0,us,2019-09-06,0.0395,21jGcNKet2qwijlDFuPiPb,120.042,4.0,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,0.553
Juice WRLD,4.0,9652455.0,Bandit (with YoungBoy Never Broke Again),0.0687,single,https://api.spotify.com/v1/audio-analysis/6Gg1gjgKi2AK4e0qzsR7sd,0.474,2019-10-04--2019-10-11,189322.0,0.631,6Gg1gjgKi2AK4e0qzsR7sd,0.0,5.0,0.132,-5.884,0.0,86.0,us,2019-10-04,0.343,6Gg1gjgKi2AK4e0qzsR7sd,180.051,4.0,https://api.spotify.com/v1/tracks/6Gg1gjgKi2AK4e0qzsR7sd,audio_features,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,0.425
YNW Melly,5.0,7409895.0,223's (feat. 9lokknine),0.0388,single,https://api.spotify.com/v1/audio-analysis/4sjiIpEv617LDXaidKioOI,0.932,2019-10-04--2019-10-11,176640.0,0.547,4sjiIpEv617LDXaidKioOI,0.0,0.0,0.0924,-7.787,0.0,78.0,us,2019-08-09,0.333,4sjiIpEv617LDXaidKioOI,94.998,4.0,https://api.spotify.com/v1/tracks/4sjiIpEv617LDXaidKioOI,audio_features,spotify:track:4sjiIpEv617LDXaidKioOI,0.695
Lizzo,6.0,7065663.0,Truth Hurts,0.11,album,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,0.715,2019-10-04--2019-10-11,173325.0,0.624,5qmq61DAAOUaW8AUo8xKhh,0.0,4.0,0.123,-3.046,0.0,74.0,us,2019-05-03,0.114,5qmq61DAAOUaW8AUo8xKhh,158.087,4.0,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,audio_features,spotify:track:5qmq61DAAOUaW8AUo8xKhh,0.412
blackbear,7.0,6561090.0,hot girl bummer,0.128,single,https://api.spotify.com/v1/audio-analysis/7aiClxsDWFRQ0Kzk5KI5ku,0.778,2019-10-04--2019-10-11,185093.0,0.559,7aiClxsDWFRQ0Kzk5KI5ku,0.0,6.0,0.399,-7.109,0.0,88.0,us,2019-08-23,0.0776,7aiClxsDWFRQ0Kzk5KI5ku,129.989,1.0,https://api.spotify.com/v1/tracks/7aiClxsDWFRQ0Kzk5KI5ku,audio_features,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,0.678
Lil Tecca,8.0,6331945.0,Ransom,0.0204,album,https://api.spotify.com/v1/audio-analysis/1lOe9qE0vR9zwWQAOk6CoO,0.745,2019-10-04--2019-10-11,131240.0,0.642,1lOe9qE0vR9zwWQAOk6CoO,0.0,7.0,0.0658,-6.257,0.0,86.0,us,2019-08-30,0.287,1lOe9qE0vR9zwWQAOk6CoO,179.974,4.0,https://api.spotify.com/v1/tracks/1lOe9qE0vR9zwWQAOk6CoO,audio_features,spotify:track:1lOe9qE0vR9zwWQAOk6CoO,0.226
Lewis Capaldi,9.0,6105495.0,Someone You Loved,0.751,album,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,0.501,2019-10-04--2019-10-11,182160.0,0.405,7qEHsqek33rTcFNT9PFqLf,0.0,1.0,0.105,-5.679,1.0,92.0,us,2019-05-17,0.0319,7qEHsqek33rTcFNT9PFqLf,109.891,4.0,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,audio_features,spotify:track:7qEHsqek33rTcFNT9PFqLf,0.446
NLE Choppa,10.0,6084351.0,Camelot,0.0849,single,https://api.spotify.com/v1/audio-analysis/4sWuPniHClkInYAnzXAYUF,0.787,2019-10-04--2019-10-11,148759.0,0.713,4sWuPniHClkInYAnzXAYUF,0.0,7.0,0.717,-5.252,1.0,82.0,us,2019-09-13,0.401,4sWuPniHClkInYAnzXAYUF,175.041,4.0,https://api.spotify.com/v1/tracks/4sWuPniHClkInYAnzXAYUF,audio_features,spotify:track:4sWuPniHClkInYAnzXAYUF,0.762
